xflr5 v6.58

NACA 2412 - 06
Reynolds =, 1000000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.025, -0.919, -0.114,  0.864,  0.014, 0.0035,-8.7666
Cpi,Cpv
 0.4298, 0.1239
 0.2671, 0.1107
 0.2063, 0.0806
 0.1594, 0.0575
 0.1234, 0.0385
 0.0936, 0.0237
 0.0677, 0.0093
 0.0445,-0.0309
 0.0227,-0.0935
 0.0013,-0.1087
-0.0212,-0.1251
-0.0485,-0.1440
-0.0817,-0.1683
-0.1886,-0.2358
-0.2718,-0.2826
-0.2940,-0.2969
-0.2263,-0.2607
-0.1167,-0.1747
-0.0599,-0.1182
-0.0258,-0.0834
 0.0009,-0.0558
 0.0243,-0.0317
 0.0463,-0.0091
 0.0679, 0.0130
 0.0897, 0.0350
 0.1120, 0.0574
 0.1351, 0.0800
 0.1564, 0.1016
 0.1825, 0.1276
 0.2139, 0.1588
 0.2489, 0.1937
 0.2877, 0.2323
 0.3301, 0.2746
 0.3762, 0.3206
 0.4260, 0.3704
 0.4793, 0.4240
 0.5362, 0.4814
 0.5963, 0.5423
 0.6592, 0.6066
 0.7243, 0.6736
 0.7904, 0.7428
 0.8554, 0.8119
 0.9160, 0.8793
 0.9665, 0.9393
 0.9970, 0.9845
 0.9897, 0.9995
 0.9125, 0.9572
 0.7053, 0.8058
 0.2558, 0.4487
-0.6400,-0.2939
-2.3015,-1.7033
-4.9766,-4.0119
-8.1473,-6.7846
-10.4340,-8.7666
-10.4819,-8.6894
-9.1464,-8.0253
-7.5963,-7.8062
-6.2665,-5.6167
-5.2158,-4.5680
-4.3989,-3.8786
-3.7592,-3.3387
-3.2505,-2.9010
-2.8389,-2.5415
-2.5000,-2.2423
-2.2164,-1.9898
-1.9756,-1.7739
-1.7685,-1.5871
-1.5881,-1.4237
-1.4296,-1.2794
-1.2890,-1.1510
-1.1633,-1.0358
-1.0503,-0.9319
-0.9482,-0.8378
-0.8556,-0.7521
-0.7713,-0.6740
-0.6946,-0.6025
-0.6250,-0.5371
-0.5645,-0.4773
-0.5113,-0.4217
-0.4537,-0.3674
-0.3976,-0.3155
-0.3426,-0.2664
-0.2886,-0.2204
-0.2349,-0.1776
-0.1805,-0.1384
-0.1236,-0.1030
-0.0571,-0.0716
 0.0180,-0.0447
 0.2257,-0.0302
 0.0806,-0.0272
 0.0257,-0.0134
 0.0154, 0.0004
 0.0173, 0.0145
 0.0262, 0.0286
 0.0396, 0.0426
 0.0565, 0.0564
 0.0768, 0.0697
 0.1008, 0.0823
 0.1293, 0.0940
 0.1640, 0.1044
 0.2095, 0.1133
 0.2690, 0.1202
 0.4298, 0.1239


Reynolds =, 1000000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.020, -0.843, -0.115,  0.851,  0.016, 0.0042,-7.9089
Cpi,Cpv
 0.4269, 0.1605
 0.2611, 0.1408
 0.1984, 0.1049
 0.1494, 0.0760
 0.1115, 0.0519
 0.0797, 0.0330
 0.0518, 0.0193
 0.0266, 0.0027
 0.0027,-0.0979
-0.0209,-0.1274
-0.0458,-0.1417
-0.0757,-0.1579
-0.1119,-0.1796
-0.2243,-0.2458
-0.3107,-0.2935
-0.3341,-0.3095
-0.2648,-0.2749
-0.1533,-0.1913
-0.0971,-0.1374
-0.0642,-0.1049
-0.0390,-0.0795
-0.0173,-0.0575
 0.0029,-0.0370
 0.0226,-0.0171
 0.0424, 0.0028
 0.0627, 0.0229
 0.0837, 0.0434
 0.1026, 0.0626
 0.1264, 0.0864
 0.1557, 0.1154
 0.1887, 0.1482
 0.2256, 0.1848
 0.2663, 0.2253
 0.3109, 0.2697
 0.3594, 0.3181
 0.4118, 0.3705
 0.4682, 0.4269
 0.5284, 0.4874
 0.5922, 0.5518
 0.6593, 0.6199
 0.7286, 0.6907
 0.7990, 0.7638
 0.8677, 0.8361
 0.9305, 0.9049
 0.9794, 0.9626
 1.0000, 0.9972
 0.9655, 0.9850
 0.8253, 0.8812
 0.4825, 0.5985
-0.2424,-0.0231
-1.6391,-1.2500
-3.9583,-3.3126
-6.7987,-5.8706
-8.9512,-7.7939
-9.1519,-7.9089
-8.0837,-7.1258
-6.7747,-6.8505
-5.6281,-5.5545
-4.7110,-4.2773
-3.9916,-3.6094
-3.4245,-3.1190
-2.9709,-2.7222
-2.6021,-2.3939
-2.2970,-2.1189
-2.0407,-1.8858
-1.8222,-1.6858
-1.6335,-1.5121
-1.4688,-1.3597
-1.3235,-1.2248
-1.1942,-1.1044
-1.0784,-0.9962
-0.9740,-0.8984
-0.8794,-0.8096
-0.7933,-0.7287
-0.7149,-0.6547
-0.6435,-0.5871
-0.5785,-0.5251
-0.5222,-0.4689
-0.4725,-0.4167
-0.4185,-0.3646
-0.3657,-0.3139
-0.3137,-0.2649
-0.2625,-0.2176
-0.2115,-0.1719
-0.1595,-0.1282
-0.1050,-0.0864
-0.0409,-0.0468
 0.0320,-0.0104
 0.2363, 0.0123
 0.0929, 0.0105
 0.0377, 0.0169
 0.0264, 0.0254
 0.0271, 0.0360
 0.0347, 0.0481
 0.0468, 0.0615
 0.0625, 0.0756
 0.0815, 0.0903
 0.1042, 0.1052
 0.1314, 0.1197
 0.1648, 0.1334
 0.2090, 0.1455
 0.2674, 0.1554
 0.4269, 0.1605


Reynolds =, 1000000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.018, -0.745, -0.116,  0.846,  0.019, 0.0048,-6.9402
Cpi,Cpv
 0.4242, 0.1751
 0.2555, 0.1522
 0.1909, 0.1130
 0.1400, 0.0805
 0.1001, 0.0531
 0.0663, 0.0311
 0.0365, 0.0143
 0.0091,-0.0035
-0.0168,-0.0892
-0.0427,-0.1548
-0.0700,-0.1678
-0.1026,-0.1819
-0.1418,-0.2015
-0.2598,-0.2664
-0.3493,-0.3154
-0.3740,-0.3331
-0.3032,-0.2996
-0.1897,-0.2176
-0.1342,-0.1657
-0.1026,-0.1352
-0.0791,-0.1119
-0.0592,-0.0919
-0.0409,-0.0735
-0.0232,-0.0557
-0.0054,-0.0380
 0.0126,-0.0201
 0.0314,-0.0020
 0.0477, 0.0147
 0.0690, 0.0360
 0.0959, 0.0625
 0.1267, 0.0931
 0.1615, 0.1275
 0.2001, 0.1658
 0.2428, 0.2082
 0.2896, 0.2548
 0.3406, 0.3056
 0.3959, 0.3608
 0.4556, 0.4204
 0.5195, 0.4845
 0.5875, 0.5530
 0.6591, 0.6253
 0.7334, 0.7012
 0.8086, 0.7785
 0.8815, 0.8555
 0.9461, 0.9258
 0.9909, 0.9804
 0.9943, 0.9994
 0.9142, 0.9454
 0.6684, 0.7435
 0.1008, 0.2525
-1.0495,-0.7688
-3.0322,-2.5535
-5.5533,-4.8493
-7.5656,-6.6745
-7.8979,-6.9402
-7.0746,-6.1956
-5.9898,-5.8996
-5.0152,-5.2791
-4.2242,-3.9296
-3.5975,-3.2832
-3.0994,-2.8485
-2.6985,-2.4975
-2.3706,-2.2046
-2.0981,-1.9574
-1.8680,-1.7466
-1.6711,-1.5648
-1.5004,-1.4062
-1.3508,-1.2666
-1.2183,-1.1426
-1.1002,-1.0316
-0.9939,-0.9315
-0.8979,-0.8408
-0.8106,-0.7582
-0.7311,-0.6829
-0.6585,-0.6138
-0.5922,-0.5506
-0.5317,-0.4927
-0.4794,-0.4404
-0.4334,-0.3918
-0.3829,-0.3428
-0.3333,-0.2948
-0.2843,-0.2479
-0.2360,-0.2022
-0.1876,-0.1575
-0.1380,-0.1137
-0.0859,-0.0710
-0.0241,-0.0291
 0.0465, 0.0109
 0.2472, 0.0377
 0.1056, 0.0328
 0.0501, 0.0340
 0.0378, 0.0388
 0.0374, 0.0467
 0.0438, 0.0569
 0.0547, 0.0690
 0.0690, 0.0825
 0.0868, 0.0972
 0.1081, 0.1126
 0.1340, 0.1282
 0.1661, 0.1435
 0.2089, 0.1575
 0.2662, 0.1691
 0.4242, 0.1751


Reynolds =, 1000000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-12.000,    0.016, -0.643, -0.117,  0.842,  0.019, 0.0054,-5.9753
Cpi,Cpv
 0.4219, 0.1853
 0.2503, 0.1600
 0.1839, 0.1181
 0.1309, 0.0824
 0.0892, 0.0521
 0.0534, 0.0272
 0.0215, 0.0079
-0.0079,-0.0104
-0.0360,-0.0832
-0.0641,-0.1837
-0.0939,-0.1956
-0.1292,-0.2078
-0.1715,-0.2253
-0.2951,-0.2884
-0.3877,-0.3386
-0.4137,-0.3581
-0.3413,-0.3258
-0.2259,-0.2454
-0.1712,-0.1955
-0.1411,-0.1671
-0.1193,-0.1458
-0.1012,-0.1279
-0.0849,-0.1117
-0.0693,-0.0961
-0.0538,-0.0807
-0.0381,-0.0653
-0.0217,-0.0497
-0.0082,-0.0357
 0.0104,-0.0170
 0.0347, 0.0070
 0.0630, 0.0349
 0.0953, 0.0668
 0.1315, 0.1028
 0.1720, 0.1429
 0.2166, 0.1872
 0.2658, 0.2360
 0.3195, 0.2894
 0.3779, 0.3477
 0.4412, 0.4108
 0.5092, 0.4789
 0.5819, 0.5520
 0.6588, 0.6294
 0.7388, 0.7110
 0.8197, 0.7938
 0.8971, 0.8754
