xflr5 v6.58

NACA 2412 - 0
Reynolds =, 1000000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.065, -1.010, -0.045,  1.000,  0.012,-0.0043,-8.5892
Cpi,Cpv
 0.4425,-0.1340
 0.3005,-0.1116
 0.2534,-0.1062
 0.2210,-0.0989
 0.1994,-0.0921
 0.1841,-0.0854
 0.1734,-0.0786
 0.1662,-0.0716
 0.1619,-0.0642
 0.1599,-0.0565
 0.1600,-0.0482
 0.1619,-0.0395
 0.1659,-0.0300
 0.1686,-0.0211
 0.1792,-0.0122
 0.1756,-0.0107
 0.1857, 0.0019
 0.1949, 0.0138
 0.2059, 0.0269
 0.2183, 0.0408
 0.2322, 0.0558
 0.2477, 0.0720
 0.2648, 0.0893
 0.2836, 0.1079
 0.3041, 0.1274
 0.3241, 0.1464
 0.3487, 0.1702
 0.3785, 0.1992
 0.4119, 0.2320
 0.4489, 0.2688
 0.4894, 0.3093
 0.5333, 0.3535
 0.5803, 0.4016
 0.6302, 0.4534
 0.6828, 0.5089
 0.7373, 0.5679
 0.7929, 0.6302
 0.8482, 0.6949
 0.9011, 0.7616
 0.9482, 0.8279
 0.9841, 0.8919
 1.0000, 0.9481
 0.9808, 0.9887
 0.9008, 0.9983
 0.7145, 0.9496
 0.3396, 0.7908
-0.3739, 0.4260
-1.6890,-0.3226
-3.9958,-1.7293
-7.5332,-4.0129
-11.4986,-6.7200
-14.1055,-8.5892
-13.7796,-8.3580
-11.7956,-7.8774
-9.6626,-7.6650
-7.8908,-5.5842
-6.5186,-4.4354
-5.4677,-3.7245
-4.6546,-3.1799
-4.0149,-2.7395
-3.5021,-2.3765
-3.0835,-2.0724
-2.7362,-1.8137
-2.4435,-1.5906
-2.1937,-1.3957
-1.9779,-1.2244
-1.7895,-1.0734
-1.6238,-0.9415
-1.4767,-0.8285
-1.3455,-0.7348
-1.2279,-0.6612
-1.1221,-0.6077
-1.0268,-0.5810
-0.9410,-0.5542
-0.8640,-0.5260
-0.7984,-0.4981
-0.7419,-0.4708
-0.6815,-0.4447
-0.6238,-0.4196
-0.5687,-0.3957
-0.5164,-0.3729
-0.4668,-0.3513
-0.4197,-0.3308
-0.3749,-0.3114
-0.3321,-0.2931
-0.2917,-0.2758
-0.2682,-0.2666
-0.2525,-0.2595
-0.2141,-0.2443
-0.1772,-0.2299
-0.1409,-0.2165
-0.1050,-0.2039
-0.0689,-0.1923
-0.0323,-0.1815
 0.0056,-0.1715
 0.0456,-0.1625
 0.0889,-0.1544
 0.1374,-0.1473
 0.1961,-0.1413
 0.2670,-0.1366
 0.4425,-0.1340


Reynolds =, 1000000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.035, -1.091, -0.068,  1.000,  0.012,-0.0019,-9.1272
Cpi,Cpv
 0.4381,-0.0130
 0.2929,-0.0038
 0.2439,-0.0057
 0.2096,-0.0063
 0.1862,-0.0069
 0.1692,-0.0068
 0.1568,-0.0060
 0.1480,-0.0044
 0.1420,-0.0020
 0.1384, 0.0013
 0.1369, 0.0055
 0.1371, 0.0105
 0.1395, 0.0165
 0.1405, 0.0224
 0.1506, 0.0297
 0.1458, 0.0299
 0.1543, 0.0396
 0.1618, 0.0491
 0.1711, 0.0597
 0.1818, 0.0715
 0.1939, 0.0844
 0.2076, 0.0986
 0.2229, 0.1141
 0.2398, 0.1309
 0.2585, 0.1488
 0.2764, 0.1664
 0.2991, 0.1887
 0.3272, 0.2162
 0.3590, 0.2478
 0.3947, 0.2832
 0.4341, 0.3225
 0.4770, 0.3657
 0.5236, 0.4127
 0.5735, 0.4636
 0.6266, 0.5184
 0.6825, 0.5766
 0.7404, 0.6383
 0.7994, 0.7024
 0.8578, 0.7685
 0.9129, 0.8342
 0.9603, 0.8975
 0.9926, 0.9525
 0.9974, 0.9910
 0.9528, 0.9970
 0.8195, 0.9417
 0.5259, 0.7709
-0.0605, 0.3838
-1.1755,-0.4062
-3.1778,-1.8873
-6.3150,-4.2905
-9.9235,-7.1427
-12.4047,-9.1272
-12.2753,-8.9208
-10.6067,-8.3804
-8.7515,-8.1461
-7.1881,-5.9559
-5.9664,-4.7781
-5.0245,-4.0462
-4.2920,-3.4846
-3.7131,-3.0322
-3.2473,-2.6616
-2.8657,-2.3537
-2.5481,-2.0944
-2.2797,-1.8732
-2.0499,-1.6821
-1.8509,-1.5154
-1.6768,-1.3685
-1.5232,-1.2381
-1.3867,-1.1215
-1.2647,-1.0168
-1.1551,-0.9222
-1.0563,-0.8364
-0.9672,-0.7585
-0.8870,-0.6876
-0.8149,-0.6228
-0.7536,-0.5638
-0.7010,-0.5092
-0.6442,-0.4565
-0.5899,-0.4066
-0.5380,-0.3596
-0.4886,-0.3157
-0.4417,-0.2750
-0.3972,-0.2375
-0.3547,-0.2035
-0.3142,-0.1728
-0.2758,-0.1456
-0.2534,-0.1318
-0.2385,-0.1218
-0.2020,-0.1014
-0.1669,-0.0842
-0.1322,-0.0714
-0.0979,-0.0641
-0.0633,-0.0572
-0.0282,-0.0500
 0.0083,-0.0429
 0.0469,-0.0360
 0.0889,-0.0297
 0.1361,-0.0240
 0.1936,-0.0190
 0.2636,-0.0152
 0.4381,-0.0130


Reynolds =, 1000000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.023, -1.136, -0.058,  1.000,  0.013,-0.0020,-9.0609
Cpi,Cpv
 0.4341, 0.1073
 0.2857, 0.1044
 0.2348, 0.0973
 0.1986, 0.0874
 0.1734, 0.0768
 0.1547, 0.0673
 0.1406, 0.0597
 0.1300, 0.0540
 0.1224, 0.0502
 0.1171, 0.0481
 0.1139, 0.0475
 0.1125, 0.0483
 0.1132, 0.0505
 0.1124, 0.0529
 0.1220, 0.0585
 0.1160, 0.0572
 0.1228, 0.0639
 0.1286, 0.0706
 0.1361, 0.0787
 0.1449, 0.0879
 0.1552, 0.0985
 0.1670, 0.1105
 0.1804, 0.1238
 0.1953, 0.1385
 0.2119, 0.1545
 0.2275, 0.1701
 0.2482, 0.1905
 0.2742, 0.2162
 0.3043, 0.2459
 0.3383, 0.2797
 0.3762, 0.3174
 0.4180, 0.3590
 0.4636, 0.4047
 0.5130, 0.4544
 0.5662, 0.5080
 0.6227, 0.5655
 0.6822, 0.6265
 0.7440, 0.6904
 0.8068, 0.7567
 0.8685, 0.8231
 0.9257, 0.8878
 0.9725, 0.9451
 0.9986, 0.9873
 0.9857, 0.9987
 0.9006, 0.9517
 0.6816, 0.7929
 0.2130, 0.4236
-0.7151,-0.3407
-2.4305,-1.7886
-5.1865,-4.1598
-8.4482,-7.0103
-10.7978,-9.0609
-10.8440,-9.0168
-9.4691,-8.2831
-7.8754,-8.0323
-6.5095,-5.8188
-5.4311,-4.7596
-4.5935,-4.0578
-3.9383,-3.5076
-3.4179,-3.0620
-2.9974,-2.6963
-2.6516,-2.3925
-2.3627,-2.1365
-2.1179,-1.9181
-1.9076,-1.7295
-1.7250,-1.5649
-1.5648,-1.4199
-1.4232,-1.2911
-1.2970,-1.1760
-1.1839,-1.0726
-1.0822,-0.9793
-0.9903,-0.8949
-0.9074,-0.8183
-0.8325,-0.7488
-0.7653,-0.6859
-0.7083,-0.6297
-0.6594,-0.5784
-0.6064,-0.5276
-0.5555,-0.4788
-0.5067,-0.4321
-0.4602,-0.3876
-0.4161,-0.3451
-0.3740,-0.3045
-0.3339,-0.2658
-0.2956,-0.2289
-0.2592,-0.1935
-0.2379,-0.1741
-0.2239,-0.1596
-0.1892,-0.1274
-0.1558,-0.0966
-0.1229,-0.0673
-0.0901,-0.0396
-0.0571,-0.0137
-0.0234, 0.0103
 0.0116, 0.0321
 0.0488, 0.0516
 0.0894, 0.0686
 0.1354, 0.0830
 0.1916, 0.0945
 0.2606, 0.1029
 0.4341, 0.1073


Reynolds =, 1000000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-12.000,    0.020, -1.081, -0.051,  1.000,  0.016,-0.0029,-8.2382
Cpi,Cpv
 0.4305, 0.1220
 0.2789, 0.1208
 0.2262, 0.1182
 0.1880, 0.1133
 0.1610, 0.1052
 0.1405, 0.0930
 0.1247, 0.0802
 0.1125, 0.0693
 0.1031, 0.0608
 0.0961, 0.0547
 0.0912, 0.0506
 0.0881, 0.0483
 0.0870, 0.0476
 0.0844, 0.0475
 0.0935, 0.0518
 0.0862, 0.0493
 0.0913, 0.0535
 0.0952, 0.0579
 0.1008, 0.0637
 0.1077, 0.0707
 0.1161, 0.0791
 0.1259, 0.0889
 0.1372, 0.1000
 0.1500, 0.1126
 0.1644, 0.1262
 0.1776, 0.1396
 0.1958, 0.1577
 0.2198, 0.1812
 0.2478, 0.2088
 0.2798, 0.2405
 0.3159, 0.2763
 0.3561, 0.3163
 0.4004, 0.3604
 0.4489, 0.4087
 0.5014, 0.4613
 0.5580, 0.5182
 0.6183, 0.5791
 0.6820, 0.6438
 0.7480, 0.7113
 0.8151, 0.7811
 0.8804, 0.8502
 0.9396, 0.9155
 0.9842, 0.9692
 0.9995, 0.9988
 0.9578, 0.9797
 0.8066, 0.8657
 0.4461, 0.5662
-0.3084,-0.0836
-1.7550,-1.3584
-4.1491,-3.4940
-7.0746,-6.1359
-9.2868,-8.1196
-9.4876,-8.2382
-8.3842,-7.4239
-7.0354,-7.1343
-5.8559,-5.7774
-4.9134,-4.4749
-4.1752,-3.7934
-3.5939,-3.2908
-3.1296,-2.8843
-2.7527,-2.5485
-2.4414,-2.2679
-2.1804,-2.0305
-1.9583,-1.8271
-1.7670,-1.6510
-1.6003,-1.4969
-1.4537,-1.3608
-1.3237,-1.2398
-1.2075,-1.1314
-1.1033,-1.0338
-1.0092,-0.9457
-0.9242,-0.8658
-0.8473,-0.7934
-0.7778,-0.7278
-0.7154,-0.6684
-0.6626,-0.6159
-0.6174,-0.5682
-0.5680,-0.5205
-0.5205,-0.4745
-0.4748,-0.4304
-0.4312,-0.3883
-0.3897,-0.3480
-0.3502,-0.3096
-0.3125,-0.2728
-0.2763,-0.2376
-0.2420,-0.2037
-0.2218,-0.1850
-0.2086,-0.1711
-0.1758,-0.1397
-0.1442,-0.1092
-0.1129,-0.0798
-0.0818,-0.0514
-0.0503,-0.0240
-0.0181, 0.0022
 0.0155, 0.0269
 0.0513, 0.0498
 0.0905, 0.0707
 0.1352, 0.0890
 0.1901, 0.1043
 0.2580, 0.1160
 0.4305, 0.1220


Reynolds =, 1000000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-11.000,    0.018, -1.016, -0.043,  1.000,  0.018,-0.0037,-7.3942
Cpi,Cpv
 0.4271, 0.1197
 0.2725, 0.1196
 0.2179, 0.1197
 0.1779, 0.1190
 0.1491, 0.1165
 0.1268, 0.1110
 0.1092, 0.1016
 0.0953, 0.0876
 0.0842, 0.0737
 0.0754, 0.0624
 0.0688, 0.0539
 0.0639, 0.0478
 0.0610, 0.0439
 0.0566, 0.0408
 0.0651, 0.0437
 0.0565, 0.0399
 0.0599, 0.0415
 0.0618, 0.0435
 0.0655, 0.0469
 0.0703, 0.0516
 0.0766, 0.0576
 0.0843, 0.0651
 0.0934, 0.0739
 0.1039, 0.0840
 0.1160, 0.0953
 0.1266, 0.1062
 0.1423, 0.1219
 0.1638, 0.1430
 0.1895, 0.1683
 0.2193, 0.1978
 0.2533, 0.2314
 0.2916, 0.2694
 0.3341, 0.3116
 0.3811, 0.3583
 0.4325, 0.4096
 0.4885, 0.4654
 0.5489, 0.5258
 0.6134, 0.5906
 0.6817, 0.6592
 0.7527, 0.7314
 0.8245, 0.8046
 0.8939, 0.8769
 0.9544, 0.9414
 0.9942, 0.9884
 0.9908, 0.9965
 0.9007, 0.9258
 0.6387, 0.6967
 0.0439, 0.1608
-1.1519,-0.9353
-3.2040,-2.8289
-5.8043,-5.2440
-7.8734,-7.1431
-8.2076,-7.3942
-7.3531,-6.6089
-6.2326,-6.3011
-5.2280,-5.5577
-4.4140,-4.1743
-3.7701,-3.5109
-3.2592,-3.0570
-2.8487,-2.6906
-2.5135,-2.3858
-2.2354,-2.1295
-2.0012,-1.9115
-1.8012,-1.7242
-1.6282,-1.5613
-1.4770,-1.4185
-1.3436,-1.2920
-1.2249,-1.1792
-1.1186,-1.0780
-1.0229,-0.9867
-0.9364,-0.9042
-0.8581,-0.8293
-0.7870,-0.7613
-0.7229,-0.6997
-0.6651,-0.6441
-0.6164,-0.5951
-0.5750,-0.5510
-0.5291,-0.5063
-0.4849,-0.4632
-0.4423,-0.4218
-0.4017,-0.3822
-0.3628,-0.3444
-0.3258,-0.3083
-0.2904,-0.2737
-0.2564,-0.2405
-0.2241,-0.2087
-0.2051,-0.1910
-0.1927,-0.1779
-0.1618,-0.1482
-0.1319,-0.1193
-0.1023,-0.0911
-0.0728,-0.0636
-0.0429,-0.0368
-0.0122,-0.0107
 0.0200, 0.0144
 0.0544, 0.0385
 0.0922, 0.0609
 0.1355, 0.0813
 0.1891, 0.0989
 0.2559, 0.1127
 0.4271, 0.1197


Reynolds =, 1000000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-10.000,    0.017, -0.910, -0.044,  0.997,  0.019,-0.0028,-6.3768
Cpi,Cpv
 0.4241, 0.1311
 0.2665, 0.1009
 0.2101, 0.1008
 0.1682, 0.1005
 0.1375, 0.0992
 0.1135, 0.0956
 0.0942, 0.0887
 0.0784, 0.0775
 0.0656, 0.0630
 0.0551, 0.0494
 0.0467, 0.0383
 0.0400, 0.0298
 0.0353, 0.0236
 0.0289, 0.0184
 0.0369, 0.0202
 0.0270, 0.0153
 0.0284, 0.0148
 0.0284, 0.0145
 0.0300, 0.0158
 0.0328, 0.0183
 0.0369, 0.0221
 0.0423, 0.0273
 0.0491, 0.0338
 0.0572, 0.0415
 0.0668, 0.0502
 0.0746, 0.0584
 0.0876, 0.0714
 0.1064, 0.0899
 0.1295, 0.1126
 0.1569, 0.1396
 0.1884, 0.1708
 0.2244, 0.2064
 0.2648, 0.2464
 0.3098, 0.2911
 0.3596, 0.3406
 0.4142, 0.3950
 0.4739, 0.4545
 0.5385, 0.5190
 0.6078, 0.5886
 0.6814, 0.6624
 0.7581, 0.7401
 0.8355, 0.8188
 0.9091, 0.8953
 0.9698, 0.9603
 0.9998, 0.9982
 0.9637, 0.9754
 0.7905, 0.8261
 0.3416, 0.4188
-0.6221,-0.4690
-2.3523,-2.0806
-4.6388,-4.2171
-6.5595,-6.0024
-7.0057,-6.3768
-6.3773,-5.7237
-5.4677,-5.4023
-4.6267,-5.1368
-3.9335,-3.7776
-3.3788,-3.1607
-2.9347,-2.7663
-2.5753,-2.4466
-2.2801,-2.1780
-2.0339,-1.9503
-1.8255,-1.7554
-1.6467,-1.5871
-1.4915,-1.4402
-1.3552,-1.3107
-1.2346,-1.1957
-1.1269,-1.0928
-1.0302,-1.0002
-0.9429,-0.9164
-0.8638,-0.8405
-0.7919,-0.7715
-0.7267,-0.7087
-0.6677,-0.6518
-0.6146,-0.6005
-0.5700,-0.5555
-0.5322,-0.5152
-0.4899,-0.4739
-0.4489,-0.4339
-0.4094,-0.3954
-0.3715,-0.3585
-0.3354,-0.3232
-0.3008,-0.2894
-0.2677,-0.2570
-0.2359,-0.2259
-0.2057,-0.1960
-0.1878,-0.1793
-0.1762,-0.1670
-0.1471,-0.1389
-0.1190,-0.1115
-0.0911,-0.0846
-0.0631,-0.0582
-0.0348,-0.0321
-0.0056,-0.0065
 0.0250, 0.0188
 0.0580, 0.0433
 0.0944, 0.0667
 0.1364, 0.0885
 0.1886, 0.1077
 0.2542, 0.1232
 0.4241, 0.1311


Reynolds =, 1000000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
 -9.000,    0.013, -0.787, -0.048,  0.990,  0.022,-0.0010,-5.4338
Cpi,Cpv
 0.4215, 0.1592
 0.2610, 0.0987
 0.2027, 0.0773
 0.1589, 0.0762
 0.1265, 0.0742
 0.1006, 0.0703
 0.0795, 0.0636
 0.0620, 0.0535
 0.0474, 0.0398
 0.0351, 0.0259
 0.0249, 0.0139
 0.0163, 0.0041
 0.0098,-0.0037
 0.0014,-0.0106
 0.0088,-0.0096
-0.0025,-0.0154
-0.0030,-0.0178
-0.0050,-0.0200
-0.0056,-0.0208
-0.0049,-0.0203
