xflr5 v6.58

NACA 2412 - 30
Reynolds =,  900000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.057, -0.062, -0.217,  0.771,  0.029, 0.0207,-4.3275
Cpi,Cpv
 0.4631,-0.1666
 0.2405,-0.1709
 0.1298,-0.1789
 0.0243,-0.1896
-0.0741,-0.2031
-0.1725,-0.2197
-0.2743,-0.2399
-0.3833,-0.2649
-0.5044,-0.2966
-0.6448,-0.3381
-0.8163,-0.3969
-1.0524,-0.4939
-1.3669,-0.7189
-2.4678,-0.6967
-3.6451,-0.6726
-3.9813,-0.6891
-2.9937,-0.8232
-1.9054,-0.6255
-1.4737,-0.5339
-1.2515,-0.4729
-1.1120,-0.4285
-1.0127,-0.3923
-0.9372,-0.3610
-0.8767,-0.3328
-0.8265,-0.3067
-0.7840,-0.2820
-0.7471,-0.2585
-0.7205,-0.2381
-0.6907,-0.2133
-0.6559,-0.1833
-0.6190,-0.1497
-0.5798,-0.1124
-0.5382,-0.0715
-0.4939,-0.0269
-0.4464, 0.0218
-0.3956, 0.0746
-0.3411, 0.1319
-0.2823, 0.1938
-0.2190, 0.2607
-0.1504, 0.3327
-0.0760, 0.4100
 0.0052, 0.4929
 0.0942, 0.5808
 0.1923, 0.6739
 0.3011, 0.7690
 0.4223, 0.8632
 0.5568, 0.9457
 0.7032, 0.9966
 0.8519, 0.9711
 0.9722, 0.7779
 0.9824, 0.2440
 0.7234,-0.8372
 0.0637,-2.4082
-0.8177,-3.8435
-1.4146,-4.3275
-1.5904,-3.9946
-1.5316,-3.6065
-1.3884,-3.4409
-1.2288,-2.9352
-1.0770,-2.2124
-0.9398,-1.8852
-0.8175,-1.6452
-0.7087,-1.4409
-0.6112,-1.2630
-0.5231,-1.1070
-0.4430,-0.9691
-0.3695,-0.8460
-0.3014,-0.7351
-0.2380,-0.6341
-0.1786,-0.5414
-0.1227,-0.4555
-0.0697,-0.3752
-0.0194,-0.2996
 0.0287,-0.2278
 0.0747,-0.1590
 0.1189,-0.0928
 0.1614,-0.0290
 0.2010, 0.0321
 0.2391, 0.0901
 0.2815, 0.1434
 0.3253, 0.1868
 0.3711, 0.2157
 0.4193, 0.2239
 0.4711, 0.2309
 0.5282, 0.2392
 0.5940, 0.2476
 0.6746, 0.2556
 0.7997, 0.2633
 0.9396, 0.2655
 0.8918, 0.2658
 0.6965, 0.2790
 0.6292, 0.2955
 0.5685, 0.3198
 0.5223, 0.3348
 0.4836, 0.3236
 0.4510, 0.2937
 0.4234, 0.2497
 0.4004, 0.1958
 0.3821, 0.1350
 0.3698, 0.0689
 0.3660,-0.0031
 0.3786,-0.0777
 0.4631,-0.1666


Reynolds =,  900000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.058,  0.039, -0.222,  0.774,  0.035, 0.0223,-3.5818
Cpi,Cpv
 0.4656,-0.2016
 0.2419,-0.2059
 0.1299,-0.2138
 0.0227,-0.2244
-0.0776,-0.2376
-0.1781,-0.2538
-0.2823,-0.2734
-0.3940,-0.2975
-0.5182,-0.3276
-0.6625,-0.3668
-0.8387,-0.4213
-1.0810,-0.5105
-1.4040,-0.6802
-2.5291,-0.6581
-3.7317,-0.6347
-4.0789,-0.6421
-3.0756,-0.7885
-1.9686,-0.6221
-1.5326,-0.5450
-1.3097,-0.4920
-1.1708,-0.4534
-1.0729,-0.4219
-0.9992,-0.3948
-0.9410,-0.3704
-0.8934,-0.3478
-0.8537,-0.3266
-0.8198,-0.3066
-0.7970,-0.2897
-0.7708,-0.2684
-0.7397,-0.2418
-0.7067,-0.2115
-0.6715,-0.1775
-0.6339,-0.1398
-0.5938,-0.0983
-0.5508,-0.0528
-0.5045,-0.0029
-0.4547, 0.0515
-0.4009, 0.1107
-0.3426, 0.1751
-0.2794, 0.2450
-0.2104, 0.3208
-0.1348, 0.4030
-0.0514, 0.4912
 0.0413, 0.5866
 0.1455, 0.6865
 0.2636, 0.7907
 0.3985, 0.8901
 0.5520, 0.9714
 0.7216, 0.9982
 0.8896, 0.8948
 0.9965, 0.5104
 0.9047,-0.3559
 0.4574,-1.7047
-0.2593,-3.0276
-0.8289,-3.5818
-1.0699,-3.4199
-1.0968,-3.0272
-1.0301,-2.8031
-0.9320,-2.6927
-0.8285,-1.9879
-0.7292,-1.6612
-0.6372,-1.4561
-0.5526,-1.2823
-0.4751,-1.1286
-0.4036,-0.9920
-0.3373,-0.8702
-0.2756,-0.7607
-0.2177,-0.6614
-0.1631,-0.5707
-0.1114,-0.4871
-0.0622,-0.4094
-0.0152,-0.3367
 0.0298,-0.2681
 0.0731,-0.2030
 0.1149,-0.1406
 0.1552,-0.0805
 0.1942,-0.0219
 0.2308, 0.0351
 0.2661, 0.0920
 0.3057, 0.1499
 0.3469, 0.2050
 0.3903, 0.2525
 0.4362, 0.2869
 0.4857, 0.3022
 0.5406, 0.3063
 0.6042, 0.3131
 0.6824, 0.3202
 0.8043, 0.3271
 0.9409, 0.3291
 0.8943, 0.3294
 0.7032, 0.3426
 0.6371, 0.3609
 0.5772, 0.3836
 0.5313, 0.3770
 0.4927, 0.3479
 0.4600, 0.3022
 0.4321, 0.2460
 0.4086, 0.1842
 0.3897, 0.1190
 0.3766, 0.0506
 0.3718,-0.0233
 0.3833,-0.0995
 0.4656,-0.2016


Reynolds =,  900000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.059,  0.133, -0.223,  0.776,  0.042, 0.0233,-2.8655
Cpi,Cpv
 0.4684,-0.2234
 0.2437,-0.2277
 0.1305,-0.2355
 0.0217,-0.2460
-0.0804,-0.2591
-0.1829,-0.2751
-0.2894,-0.2944
-0.4039,-0.3181
-0.5312,-0.3475
-0.6793,-0.3857
-0.8601,-0.4384
-1.1086,-0.5253
-1.4399,-0.6557
-2.5887,-0.6337
-3.8161,-0.6109
-4.1744,-0.6109
-3.1558,-0.7606
-2.0307,-0.6218
-1.5907,-0.5575
-1.3672,-0.5118
-1.2291,-0.4785
-1.1328,-0.4514
-1.0611,-0.4282
-1.0052,-0.4075
-0.9603,-0.3884
-0.9235,-0.3706
-0.8929,-0.3541
-0.8740,-0.3408
-0.8518,-0.3231
-0.8246,-0.3000
-0.7956,-0.2731
-0.7646,-0.2426
-0.7315,-0.2084
-0.6960,-0.1703
-0.6577,-0.1282
-0.6165,-0.0817
-0.5720,-0.0306
-0.5237, 0.0254
-0.4714, 0.0867
-0.4143, 0.1538
-0.3519, 0.2271
-0.2833, 0.3072
-0.2072, 0.3949
-0.1219, 0.4899
-0.0252, 0.5937
 0.0862, 0.7031
 0.2164, 0.8167
 0.3701, 0.9216
 0.5508, 0.9930
 0.7524, 0.9681
 0.9371, 0.7199
 0.9917, 0.0520
 0.7446,-1.0762
 0.1975,-2.2783
-0.3235,-2.8655
-0.6066,-2.8392
-0.7018,-2.5451
-0.6998,-2.2813
-0.6554,-2.1439
-0.5948,-2.0201
-0.5298,-1.4586
-0.4653,-1.2592
-0.4032,-1.1168
-0.3441,-0.9891
-0.2881,-0.8727
-0.2349,-0.7670
-0.1843,-0.6708
-0.1361,-0.5828
-0.0899,-0.5018
-0.0455,-0.4267
-0.0028,-0.3565
 0.0385,-0.2906
 0.0784,-0.2282
 0.1171,-0.1688
 0.1547,-0.1118
 0.1913,-0.0567
 0.2269,-0.0031
 0.2605, 0.0493
 0.2930, 0.1020
 0.3299, 0.1579
 0.3686, 0.2143
 0.4095, 0.2678
 0.4531, 0.3130
 0.5004, 0.3443
 0.5531, 0.3544
 0.6145, 0.3585
 0.6903, 0.3646
 0.8090, 0.3708
 0.9423, 0.3726
 0.8968, 0.3729
 0.7101, 0.3862
 0.6450, 0.4071
 0.5860, 0.4181
 0.5405, 0.3985
 0.5021, 0.3575
 0.4693, 0.3026
 0.4411, 0.2407
 0.4171, 0.1760
 0.3976, 0.1095
 0.3838, 0.0404
 0.3779,-0.0345
 0.3884,-0.1117
 0.4684,-0.2234


Reynolds =,  900000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-12.000,    0.061,  0.233, -0.224,  0.778,  0.054, 0.0243,-2.2817
Cpi,Cpv
 0.4715,-0.2423
 0.2459,-0.2465
 0.1316,-0.2543
 0.0213,-0.2648
-0.0825,-0.2779
-0.1870,-0.2938
-0.2959,-0.3130
-0.4129,-0.3365
-0.5434,-0.3657
-0.6951,-0.4035
-0.8805,-0.4560
-1.1351,-0.5441
-1.4746,-0.6466
-2.6467,-0.6246
