xflr5 v6.58

NACA 2412 - 21
Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.032, -0.224, -0.211,  0.787,  0.021, 0.0154,-5.2499
Cpi,Cpv
 0.4352, 0.0406
 0.2294, 0.0340
 0.1355, 0.0213
 0.0508, 0.0035
-0.0244,-0.0200
-0.0964,-0.0510
-0.1681,-0.0917
-0.2422,-0.1460
-0.3216,-0.2200
-0.4110,-0.3246
-0.5169,-0.4874
-0.6585,-0.7998
-0.8426,-0.7921
-1.4635,-0.7656
-2.0387,-0.7489
-2.2067,-0.9040
-1.7336,-0.8829
-1.1179,-0.6345
-0.8639,-0.5143
-0.7295,-0.4421
-0.6420,-0.3907
-0.5773,-0.3498
-0.5259,-0.3150
-0.4828,-0.2839
-0.4451,-0.2552
-0.4113,-0.2282
-0.3802,-0.2025
-0.3556,-0.1800
-0.3269,-0.1532
-0.2928,-0.1213
-0.2558,-0.0858
-0.2155,-0.0468
-0.1720,-0.0042
-0.1250, 0.0422
-0.0743, 0.0925
-0.0195, 0.1470
 0.0396, 0.2058
 0.1033, 0.2691
 0.1720, 0.3371
 0.2460, 0.4099
 0.3256, 0.4877
 0.4112, 0.5699
 0.5030, 0.6568
 0.6007, 0.7457
 0.7031, 0.8351
 0.8072, 0.9174
 0.9055, 0.9807
 0.9805, 0.9976
 0.9936, 0.9138
 0.8615, 0.6185
 0.4226,-0.0826
-0.5384,-1.4143
-2.0043,-3.2439
-3.4311,-4.8341
-4.0027,-5.2499
-3.8218,-4.7473
-3.3680,-4.4327
-2.8941,-4.2012
-2.4781,-3.0673
-2.1305,-2.5648
-1.8428,-2.2240
-1.6031,-1.9423
-1.4011,-1.7031
-1.2286,-1.4985
-1.0792,-1.3218
-0.9483,-1.1676
-0.8321,-1.0315
-0.7280,-0.9102
-0.6338,-0.8010
-0.5480,-0.7020
-0.4691,-0.6115
-0.3963,-0.5281
-0.3287,-0.4510
-0.2656,-0.3791
-0.2065,-0.3118
-0.1511,-0.2485
-0.0990,-0.1887
-0.0517,-0.1322
-0.0076,-0.0775
 0.0410,-0.0220
 0.0903, 0.0323
 0.1410, 0.0838
 0.1935, 0.1304
 0.2490, 0.1695
 0.3096, 0.1986
 0.3787, 0.2151
 0.4662, 0.2183
 0.5936, 0.2248
 0.8282, 0.2273
 0.6886, 0.2297
 0.5030, 0.2498
 0.4355, 0.2700
 0.3850, 0.2696
 0.3495, 0.2576
 0.3228, 0.2382
 0.3027, 0.2147
 0.2882, 0.1894
 0.2788, 0.1640
 0.2749, 0.1389
 0.2778, 0.1144
 0.2907, 0.0899
 0.3203, 0.0671
 0.4352, 0.0406


Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.031, -0.106, -0.218,  0.788,  0.027, 0.0170,-4.4062
Cpi,Cpv
 0.4358, 0.0092
 0.2279, 0.0025
 0.1323,-0.0104
 0.0458,-0.0284
-0.0315,-0.0521
-0.1057,-0.0828
-0.1798,-0.1228
-0.2566,-0.1758
-0.3390,-0.2476
-0.4318,-0.3495
-0.5418,-0.5093
-0.6885,-0.8172
-0.8793,-0.8089
-1.5175,-0.7818
-2.1077,-0.7645
-2.2819,-0.9153
-1.7997,-0.9054
-1.1719,-0.6639
-0.9154,-0.5485
-0.7809,-0.4797
-0.6943,-0.4312
-0.6312,-0.3930
-0.5816,-0.3609
-0.5406,-0.3324
-0.5052,-0.3065
-0.4740,-0.2822
-0.4455,-0.2594
-0.4242,-0.2399
-0.3987,-0.2162
-0.3677,-0.1872
-0.3338,-0.1546
-0.2967,-0.1185
-0.2564,-0.0787
-0.2126,-0.0351
-0.1651, 0.0125
-0.1136, 0.0644
-0.0576, 0.1208
 0.0030, 0.1820
 0.0688, 0.2482
 0.1402, 0.3198
 0.2176, 0.3968
 0.3017, 0.4798
 0.3929, 0.5680
 0.4918, 0.6619
 0.5982, 0.7582
 0.7108, 0.8545
 0.8252, 0.9399
 0.9298, 0.9951
 0.9959, 0.9751
 0.9577, 0.7888
 0.6788, 0.2614
-0.0436,-0.8201
-1.2520,-2.4073
-2.5245,-3.8792
-3.1359,-4.4062
-3.0960,-4.1161
-2.7863,-3.6814
-2.4291,-3.4738
-2.1018,-2.8514
-1.8213,-2.2679
-1.5846,-1.9677
-1.3846,-1.7278
-1.2139,-1.5222
-1.0666,-1.3440
-0.9379,-1.1885
-0.8240,-1.0518
-0.7222,-0.9304
-0.6303,-0.8216
-0.5467,-0.7232
-0.4699,-0.6335
-0.3990,-0.5513
-0.3332,-0.4753
-0.2717,-0.4049
-0.2141,-0.3391
-0.1599,-0.2774
-0.1089,-0.2194
-0.0607,-0.1646
-0.0168,-0.1131
 0.0241,-0.0632
 0.0696,-0.0109
 0.1161, 0.0423
 0.1641, 0.0960
 0.2141, 0.1491
 0.2672, 0.1998
 0.3254, 0.2451
 0.3922, 0.2813
 0.4772, 0.3052
 0.6016, 0.3113
 0.8315, 0.3116
 0.6946, 0.3150
 0.5120, 0.3335
 0.4452, 0.3283
 0.3949, 0.3086
 0.3592, 0.2805
 0.3321, 0.2489
 0.3114, 0.2171
 0.2961, 0.1865
 0.2859, 0.1574
 0.2811, 0.1295
 0.2829, 0.1022
 0.2946, 0.0741
 0.3229, 0.0467
 0.4358, 0.0092


Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.032, -0.011, -0.217,  0.788,  0.030, 0.0178,-3.6175
Cpi,Cpv
 0.4366,-0.0154
 0.2269,-0.0221
 0.1298,-0.0349
 0.0413,-0.0526
-0.0380,-0.0757
-0.1144,-0.1056
-0.1909,-0.1442
-0.2703,-0.1950
-0.3557,-0.2637
-0.4519,-0.3614
-0.5659,-0.5158
-0.7177,-0.8160
-0.9151,-0.8071
-1.5705,-0.7797
-2.1755,-0.7620
-2.3560,-0.9038
-1.8648,-0.9081
-1.2252,-0.6785
-0.9663,-0.5702
-0.8320,-0.5061
-0.7465,-0.4614
-0.6849,-0.4265
-0.6373,-0.3975
-0.5985,-0.3722
-0.5656,-0.3492
-0.5370,-0.3280
-0.5115,-0.3083
-0.4936,-0.2921
-0.4714,-0.2717
-0.4438,-0.2459
-0.4133,-0.2165
-0.3797,-0.1835
-0.3430,-0.1469
-0.3028,-0.1064
-0.2589,-0.0618
-0.2111,-0.0129
-0.1589, 0.0406
-0.1019, 0.0990
-0.0398, 0.1627
 0.0280, 0.2321
 0.1021, 0.3074
 0.1832, 0.3894
 0.2723, 0.4777
 0.3702, 0.5736
 0.4777, 0.6745
 0.5951, 0.7802
 0.7206, 0.8821
 0.8477, 0.9671
 0.9568, 0.9991
 0.9985, 0.9027
 0.8605, 0.5262
 0.3560,-0.3359
-0.6067,-1.6916
-1.7196,-3.0376
-2.3492,-3.6175
-2.4271,-3.4762
-2.2440,-3.0828
-1.9917,-2.8526
-1.7454,-2.7206
-1.5265,-1.9971
-1.3372,-1.7263
-1.1742,-1.5264
-1.0330,-1.3525
-0.9095,-1.1987
-0.8003,-1.0628
-0.7027,-0.9422
-0.6147,-0.8342
-0.5345,-0.7367
-0.4610,-0.6481
-0.3930,-0.5669
-0.3298,-0.4921
-0.2707,-0.4227
-0.2152,-0.3581
-0.1629,-0.2975
-0.1135,-0.2406
-0.0668,-0.1869
-0.0224,-0.1360
 0.0180,-0.0884
 0.0559,-0.0421
 0.0984, 0.0070
 0.1421, 0.0573
 0.1874, 0.1089
 0.2348, 0.1613
 0.2855, 0.2131
 0.3414, 0.2618
 0.4059, 0.3035
 0.4883, 0.3339
 0.6097, 0.3491
 0.8348, 0.3478
 0.7007, 0.3521
 0.5213, 0.3617
 0.4552, 0.3480
 0.4051, 0.3208
 0.3692, 0.2867
 0.3417, 0.2509
 0.3205, 0.2161
 0.3045, 0.1833
 0.2934, 0.1523
 0.2876, 0.1223
 0.2884, 0.0924
 0.2988, 0.0611
 0.3260, 0.0298
 0.4366,-0.0154


Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-12.000,    0.033,  0.086, -0.217,  0.788,  0.039, 0.0186,-2.8967
Cpi,Cpv
 0.4379,-0.0417
 0.2264,-0.0484
 0.1277,-0.0610
 0.0374,-0.0784
-0.0438,-0.1011
-0.1224,-0.1301
