xflr5 v6.58

NACA 2412 - 03
Reynolds =, 1000000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.044, -0.969, -0.077,  1.000,  0.012,-0.0013,-8.6666
Cpi,Cpv
 0.4351,-0.0447
 0.2826,-0.0396
 0.2287,-0.0435
 0.1891,-0.0473
 0.1605,-0.0515
 0.1381,-0.0557
 0.1201,-0.0599
 0.1053,-0.0642
 0.0927,-0.0687
 0.0816,-0.0739
 0.0712,-0.0805
 0.0597,-0.0898
 0.0465,-0.1027
 0.0016,-0.1370
-0.0359,-0.1543
-0.0419,-0.1553
-0.0100,-0.1384
 0.0368,-0.0970
 0.0682,-0.0614
 0.0889,-0.0374
 0.1072,-0.0166
 0.1247, 0.0028
 0.1424, 0.0219
 0.1607, 0.0412
 0.1801, 0.0611
 0.2005, 0.0818
 0.2223, 0.1030
 0.2430, 0.1234
 0.2684, 0.1485
 0.2990, 0.1786
 0.3333, 0.2126
 0.3713, 0.2504
 0.4128, 0.2919
 0.4579, 0.3372
 0.5064, 0.3862
 0.5583, 0.4390
 0.6132, 0.4954
 0.6708, 0.5554
 0.7304, 0.6188
 0.7911, 0.6847
 0.8511, 0.7526
 0.9078, 0.8204
 0.9569, 0.8861
 0.9912, 0.9441
 0.9982, 0.9868
 0.9565, 0.9989
 0.8273, 0.9530
 0.5400, 0.7973
-0.0362, 0.4355
-1.1341,-0.3115
-3.1078,-1.7212
-6.2025,-4.0184
-9.7634,-6.7554
-12.2121,-8.6666
-12.0842,-8.4730
-10.4370,-7.9587
-8.6050,-7.7802
-7.0608,-5.6764
-5.8538,-4.5301
-4.9229,-3.8216
-4.1986,-3.2782
-3.6260,-2.8396
-3.1649,-2.4792
-2.7870,-2.1788
-2.4722,-1.9248
-2.2060,-1.7070
-1.9779,-1.5180
-1.7801,-1.3522
-1.6070,-1.2053
-1.4540,-1.0742
-1.3178,-0.9566
-1.1958,-0.8508
-1.0861,-0.7556
-0.9869,-0.6700
-0.8972,-0.5937
-0.8160,-0.5262
-0.7427,-0.4673
-0.6796,-0.4168
-0.6247,-0.3742
-0.5657,-0.3392
-0.5087,-0.3172
-0.4535,-0.3007
-0.4002,-0.2830
-0.3483,-0.2650
-0.2971,-0.2473
-0.2458,-0.2302
-0.1900,-0.2136
-0.1317,-0.1977
 0.0036,-0.1885
-0.0805,-0.1831
-0.0911,-0.1674
-0.0797,-0.1522
-0.0616,-0.1377
-0.0398,-0.1239
-0.0155,-0.1110
 0.0110,-0.0988
 0.0399,-0.0876
 0.0718,-0.0773
 0.1076,-0.0681
 0.1492,-0.0599
 0.2013,-0.0530
 0.2666,-0.0477
 0.4351,-0.0447


Reynolds =, 1000000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.026, -1.047, -0.081,  0.998,  0.013,-0.0004,-8.9541
Cpi,Cpv
 0.4315, 0.0890
 0.2757, 0.0701
 0.2200, 0.0684
 0.1784, 0.0653
 0.1479, 0.0600
 0.1237, 0.0521
 0.1039, 0.0412
 0.0872, 0.0280
 0.0727, 0.0144
 0.0597, 0.0012
 0.0472,-0.0120
 0.0336,-0.0265
 0.0181,-0.0435
-0.0302,-0.0795
-0.0694,-0.0962
-0.0759,-0.0980
-0.0435,-0.0835
 0.0037,-0.0474
 0.0340,-0.0173
 0.0531, 0.0025
 0.0698, 0.0197
 0.0856, 0.0359
 0.1015, 0.0521
 0.1180, 0.0688
 0.1355, 0.0863
 0.1540, 0.1046
 0.1738, 0.1237
 0.1922, 0.1422
 0.2155, 0.1653
 0.2442, 0.1936
 0.2767, 0.2258
 0.3131, 0.2619
 0.3532, 0.3018
 0.3972, 0.3456
 0.4448, 0.3932
 0.4962, 0.4448
 0.5512, 0.5001
 0.6095, 0.5591
 0.6707, 0.6216
 0.7342, 0.6868
 0.7986, 0.7542
 0.8620, 0.8215
 0.9209, 0.8870
 0.9696, 0.9448
 0.9979, 0.9872
 0.9878, 0.9987
 0.9066, 0.9515
 0.6934, 0.7927
 0.2343, 0.4237
-0.6779,-0.3385
-2.3668,-1.7796
-5.0831,-4.1340
-8.3002,-6.9529
-10.6189,-8.9541
-10.6659,-8.8383
-9.3103,-8.2140
-7.7380,-8.0166
-6.3897,-5.7912
-5.3249,-4.6955
-4.4974,-3.9903
-3.8497,-3.4413
-3.3351,-2.9971
-2.9189,-2.6325
-2.5765,-2.3295
-2.2901,-2.0741
-2.0472,-1.8560
-1.8384,-1.6676
-1.6569,-1.5031
-1.4974,-1.3580
-1.3562,-1.2291
-1.2302,-1.1138
-1.1172,-1.0101
-1.0152,-0.9164
-0.9228,-0.8313
-0.8391,-0.7540
-0.7633,-0.6836
-0.6948,-0.6194
-0.6360,-0.5612
-0.5848,-0.5074
-0.5294,-0.4546
-0.4757,-0.4041
-0.4237,-0.3558
-0.3732,-0.3099
-0.3240,-0.2664
-0.2754,-0.2254
-0.2263,-0.1868
-0.1728,-0.1507
-0.1167,-0.1175
 0.0161,-0.0971
-0.0673,-0.0932
-0.0790,-0.0753
-0.0690,-0.0569
-0.0522,-0.0383
-0.0319,-0.0201
-0.0090,-0.0024
