xflr5 v6.58

NACA 2412 - 03
Reynolds =, 1100000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.032, -1.050, -0.088,  1.000,  0.012,-0.0001,-9.5246
Cpi,Cpv
 0.4351, 0.0243
 0.2826, 0.0236
 0.2287, 0.0169
 0.1891, 0.0094
 0.1605, 0.0014
 0.1381,-0.0063
 0.1201,-0.0134
 0.1053,-0.0202
 0.0927,-0.0268
 0.0816,-0.0336
 0.0712,-0.0415
 0.0597,-0.0516
 0.0465,-0.0651
 0.0016,-0.0994
-0.0359,-0.1167
-0.0419,-0.1178
-0.0100,-0.1014
 0.0368,-0.0613
 0.0682,-0.0272
 0.0889,-0.0041
 0.1072, 0.0160
 0.1247, 0.0349
 0.1424, 0.0536
 0.1607, 0.0728
 0.1801, 0.0925
 0.2005, 0.1131
 0.2223, 0.1345
 0.2430, 0.1551
 0.2684, 0.1804
 0.2990, 0.2107
 0.3333, 0.2449
 0.3713, 0.2828
 0.4128, 0.3244
 0.4579, 0.3698
 0.5064, 0.4188
 0.5583, 0.4715
 0.6132, 0.5278
 0.6708, 0.5874
 0.7304, 0.6500
 0.7911, 0.7148
 0.8511, 0.7811
 0.9078, 0.8463
 0.9569, 0.9082
 0.9912, 0.9606
 0.9982, 0.9947
 0.9565, 0.9936
 0.8273, 0.9272
 0.5400, 0.7385
-0.0362, 0.3230
-1.1341,-0.5125
-3.1078,-2.0637
-6.2025,-4.5605
-9.7634,-7.4999
-12.2121,-9.5246
-12.0842,-9.3021
-10.4370,-8.7396
-8.6050,-8.1993
-7.0608,-6.0079
-5.8538,-4.8600
-4.9229,-4.1120
-4.1986,-3.5319
-3.6260,-3.0646
-3.1649,-2.6823
-2.7870,-2.3652
-2.4722,-2.0984
-2.2060,-1.8709
-1.9779,-1.6745
-1.7801,-1.5031
-1.6070,-1.3521
-1.4540,-1.2179
-1.3178,-1.0980
-1.1958,-0.9901
-1.0861,-0.8926
-0.9869,-0.8041
-0.8972,-0.7236
-0.8160,-0.6502
-0.7427,-0.5832
-0.6796,-0.5221
-0.6247,-0.4655
-0.5657,-0.4112
-0.5087,-0.3603
-0.4535,-0.3129
-0.4002,-0.2695
-0.3483,-0.2301
-0.2971,-0.1950
-0.2458,-0.1643
-0.1900,-0.1378
-0.1317,-0.1156
 0.0036,-0.1039
-0.0805,-0.0982
-0.0911,-0.0812
-0.0797,-0.0657
-0.0616,-0.0521
-0.0398,-0.0402
-0.0155,-0.0296
 0.0110,-0.0198
 0.0399,-0.0108
 0.0718,-0.0025
 0.1076, 0.0050
 0.1492, 0.0117
 0.2013, 0.0173
 0.2666, 0.0217
 0.4351, 0.0243


Reynolds =, 1100000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.026, -1.042, -0.082,  0.997,  0.012,-0.0001,-8.9452
Cpi,Cpv
 0.4315, 0.0948
 0.2757, 0.0689
 0.2200, 0.0668
 0.1784, 0.0632
 0.1479, 0.0573
 0.1237, 0.0490
 0.1039, 0.0375
 0.0872, 0.0244
 0.0727, 0.0112
 0.0597,-0.0016
 0.0472,-0.0145
 0.0336,-0.0287
 0.0181,-0.0456
-0.0302,-0.0821
-0.0694,-0.0993
-0.0759,-0.1012
-0.0435,-0.0862
 0.0037,-0.0494
 0.0340,-0.0191
 0.0531, 0.0008
 0.0698, 0.0181
 0.0856, 0.0344
 0.1015, 0.0506
 0.1180, 0.0674
 0.1355, 0.0848
 0.1540, 0.1032
 0.1738, 0.1224
 0.1922, 0.1408
 0.2155, 0.1640
 0.2442, 0.1923
 0.2767, 0.2245
 0.3131, 0.2606
 0.3532, 0.3005
 0.3972, 0.3443
 0.4448, 0.3919
 0.4962, 0.4435
 0.5512, 0.4989
 0.6095, 0.5579
 0.6707, 0.6204
 0.7342, 0.6857
 0.7986, 0.7532
 0.8620, 0.8206
 0.9209, 0.8862
 0.9696, 0.9442
 0.9979, 0.9869
 0.9878, 0.9988
 0.9066, 0.9522
 0.6934, 0.7943
 0.2343, 0.4267
-0.6779,-0.3335
-2.3668,-1.7718
-5.0831,-4.1232
-8.3002,-6.9408
-10.6189,-8.9452
-10.6659,-8.8350
-9.3103,-8.2267
-7.7380,-7.9150
-6.3897,-5.7923
-5.3249,-4.6966
-4.4974,-3.9899
-3.8497,-3.4400
-3.3351,-2.9955
-2.9189,-2.6310
-2.5765,-2.3280
-2.2901,-2.0727
-2.0472,-1.8547
-1.8384,-1.6664
-1.6569,-1.5019
-1.4974,-1.3569
-1.3562,-1.2281
-1.2302,-1.1128
-1.1172,-1.0091
-1.0152,-0.9154
-0.9228,-0.8303
-0.8391,-0.7530
-0.7633,-0.6826
-0.6948,-0.6183
-0.6360,-0.5602
-0.5848,-0.5064
-0.5294,-0.4536
-0.4757,-0.4030
-0.4237,-0.3546
-0.3732,-0.3085
-0.3240,-0.2647
-0.2754,-0.2234
-0.2263,-0.1844
-0.1728,-0.1479
-0.1167,-0.1142
 0.0161,-0.0933
-0.0673,-0.0896
-0.0790,-0.0718
-0.0690,-0.0533
-0.0522,-0.0346
-0.0319,-0.0162
-0.0090, 0.0017
 0.0161, 0.0188
 0.0437, 0.0348
 0.0742, 0.0496
 0.1087, 0.0628
 0.1490, 0.0743
 0.1998, 0.0838
 0.2641, 0.0910
 0.4315, 0.0948


Reynolds =, 1100000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.019, -0.951, -0.088,  0.986,  0.016, 0.0020,-8.0906
Cpi,Cpv
 0.4281, 0.1564
 0.2693, 0.0979
 0.2116, 0.0530
 0.1681, 0.0484
 0.1358, 0.0424
 0.1097, 0.0345
 0.0880, 0.0245
 0.0694, 0.0123
 0.0530,-0.0011
 0.0380,-0.0149
 0.0236,-0.0293
 0.0078,-0.0452
-0.0101,-0.0638
-0.0620,-0.1024
-0.1027,-0.1201
-0.1099,-0.1226
-0.0768,-0.1081
-0.0294,-0.0724
-0.0003,-0.0438
 0.0173,-0.0257
 0.0322,-0.0103
 0.0462, 0.0041
 0.0603, 0.0184
 0.0748, 0.0332
 0.0903, 0.0486
 0.1067, 0.0649
 0.1244, 0.0819
 0.1404, 0.0981
 0.1613, 0.1190
 0.1879, 0.1452
 0.2184, 0.1754
 0.2528, 0.2095
 0.2912, 0.2476
 0.3336, 0.2898
 0.3799, 0.3360
 0.4304, 0.3864
 0.4848, 0.4410
 0.5432, 0.4998
 0.6053, 0.5625
 0.6706, 0.6290
 0.7384, 0.6984
 0.8071, 0.7700
 0.8741, 0.8410
 0.9351, 0.9085
 0.9819, 0.9648
 0.9998, 0.9978
