xflr5 v6.58

NACA 2412 - 15
Reynolds =, 1100000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.018, -0.364, -0.198,  0.782,  0.020, 0.0129,-5.9540
Cpi,Cpv
 0.4267, 0.2092
 0.2362, 0.1809
 0.1550, 0.1330
 0.0853, 0.0822
 0.0261, 0.0321
-0.0284,-0.0158
-0.0807,-0.0614
-0.1329,-0.1046
-0.1872,-0.1463
-0.2463,-0.2000
-0.3145,-0.3743
-0.4033,-0.7468
-0.5167,-0.7470
-0.8892,-0.7351
-1.2048,-0.8249
-1.2988,-0.9850
-1.0423,-0.8641
-0.6701,-0.6055
-0.5096,-0.4736
-0.4221,-0.3983
-0.3628,-0.3449
-0.3170,-0.3028
-0.2790,-0.2672
-0.2456,-0.2354
-0.2151,-0.2060
-0.1864,-0.1783
-0.1586,-0.1518
-0.1354,-0.1283
-0.1076,-0.1005
-0.0744,-0.0678
-0.0377,-0.0315
 0.0024, 0.0083
 0.0461, 0.0517
 0.0936, 0.0989
 0.1449, 0.1499
 0.2004, 0.2050
 0.2600, 0.2644
 0.3241, 0.3281
 0.3927, 0.3963
 0.4659, 0.4690
 0.5434, 0.5463
 0.6251, 0.6272
 0.7097, 0.7116
 0.7955, 0.7965
 0.8784, 0.8791
 0.9504, 0.9504
 0.9956, 0.9956
 0.9822, 0.9826
 0.8455, 0.8489
 0.4587, 0.4692
-0.3991,-0.3684
-1.9659,-1.8951
-4.0618,-3.9206
-5.8414,-5.6086
-6.2759,-5.9540
-5.7164,-5.3313
-4.8888,-5.0349
-4.1174,-4.6428
-3.4780,-3.4125
-2.9637,-2.8435
-2.5500,-2.4614
-2.2134,-2.1494
-1.9355,-1.8866
-1.7024,-1.6631
-1.5040,-1.4713
-1.3327,-1.3047
-1.1830,-1.1584
-1.0507,-1.0287
-0.9327,-0.9126
-0.8265,-0.8079
-0.7301,-0.7128
-0.6423,-0.6258
-0.5616,-0.5458
-0.4874,-0.4719
-0.4187,-0.4034
-0.3551,-0.3397
-0.2961,-0.2802
-0.2436,-0.2249
-0.1957,-0.1722
-0.1433,-0.1191
-0.0908,-0.0671
-0.0377,-0.0168
 0.0163, 0.0309
 0.0724, 0.0746
 0.1325, 0.1131
 0.1997, 0.1449
 0.2846, 0.1691
 0.3991, 0.1848
 0.6690, 0.1855
 0.4872, 0.1918
 0.3348, 0.2041
 0.2806, 0.2074
 0.2453, 0.2060
 0.2235, 0.2023
 0.2097, 0.1981
 0.2021, 0.1945
 0.1997, 0.1923
 0.2023, 0.1919
 0.2103, 0.1934
 0.2252, 0.1969
 0.2507, 0.2017
 0.2922, 0.2073
 0.4267, 0.2092


Reynolds =, 1100000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.016, -0.252, -0.203,  0.784,  0.023, 0.0138,-5.0873
Cpi,Cpv
 0.4259, 0.2139
 0.2328, 0.1856
 0.1499, 0.1369
 0.0782, 0.0841
 0.0169, 0.0317
-0.0398,-0.0188
-0.0944,-0.0669
-0.1491,-0.1125
-0.2061,-0.1567
-0.2682,-0.2155
-0.3398,-0.4053
-0.4329,-0.7801
-0.5515,-0.7797
-0.9364,-0.7669
