xflr5 v6.58

NACA 2412 - 30
Reynolds =, 1100000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.064, -0.028, -0.225,  0.767,  0.029, 0.0216,-4.2406
Cpi,Cpv
 0.4631,-0.1631
 0.2405,-0.1675
 0.1298,-0.1759
 0.0243,-0.1873
-0.0741,-0.2016
-0.1725,-0.2195
-0.2743,-0.2416
-0.3833,-0.2696
-0.5044,-0.3058
-0.6448,-0.3549
-0.8163,-0.4269
-1.0524,-0.5499
-1.3669,-0.7390
-2.4678,-0.7222
-3.6451,-0.6970
-3.9813,-0.7072
-2.9937,-0.8493
-1.9054,-0.6427
-1.4737,-0.5491
-1.2515,-0.4868
-1.1120,-0.4416
-1.0127,-0.4048
-0.9372,-0.3732
-0.8767,-0.3448
-0.8265,-0.3185
-0.7840,-0.2936
-0.7471,-0.2701
-0.7205,-0.2499
-0.6907,-0.2252
-0.6559,-0.1953
-0.6190,-0.1618
-0.5798,-0.1247
-0.5382,-0.0839
-0.4939,-0.0394
-0.4464, 0.0091
-0.3956, 0.0618
-0.3411, 0.1190
-0.2823, 0.1808
-0.2190, 0.2475
-0.1504, 0.3195
-0.0760, 0.3968
 0.0052, 0.4798
 0.0942, 0.5680
 0.1923, 0.6617
 0.3011, 0.7577
 0.4223, 0.8537
 0.5568, 0.9389
 0.7032, 0.9945
 0.8519, 0.9769
 0.9722, 0.7970
 0.9824, 0.2847
 0.7234,-0.7669
 0.0637,-2.3097
-0.8177,-3.7364
-1.4146,-4.2406
-1.5904,-3.9459
-1.5316,-3.5349
-1.3884,-3.3468
-1.2288,-2.7744
-1.0770,-2.1559
-0.9398,-1.8560
-0.8175,-1.6204
-0.7087,-1.4184
-0.6112,-1.2426
-0.5231,-1.0886
-0.4430,-0.9527
-0.3695,-0.8315
-0.3014,-0.7222
-0.2380,-0.6229
-0.1786,-0.5317
-0.1227,-0.4473
-0.0697,-0.3685
-0.0194,-0.2944
 0.0287,-0.2241
 0.0747,-0.1569
 0.1189,-0.0922
 0.1614,-0.0293
 0.2010, 0.0317
 0.2391, 0.0914
 0.2815, 0.1498
 0.3253, 0.2016
 0.3711, 0.2413
 0.4193, 0.2639
 0.4711, 0.2678
 0.5282, 0.2752
 0.5940, 0.2831
 0.6746, 0.2909
 0.7997, 0.2984
 0.9396, 0.3005
 0.8918, 0.3008
 0.6965, 0.3141
 0.6292, 0.3314
 0.5685, 0.3584
 0.5223, 0.3629
 0.4836, 0.3441
 0.4510, 0.3074
 0.4234, 0.2582
 0.4004, 0.2013
 0.3821, 0.1395
 0.3698, 0.0740
 0.3660, 0.0030
 0.3786,-0.0703
 0.4631,-0.1631


Reynolds =, 1100000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.065,  0.093, -0.231,  0.767,  0.034, 0.0230,-3.3912
Cpi,Cpv
 0.4656,-0.1814
 0.2419,-0.1859
 0.1299,-0.1944
 0.0227,-0.2058
-0.0776,-0.2204
-0.1781,-0.2384
-0.2823,-0.2608
-0.3940,-0.2891
-0.5182,-0.3257
-0.6625,-0.3755
-0.8387,-0.4488
-1.0810,-0.5741
-1.4040,-0.7657
-2.5291,-0.7471
-3.7317,-0.7215
-4.0789,-0.7311
-3.0756,-0.8804
-1.9686,-0.6789
-1.5326,-0.5890
-1.3097,-0.5296
-1.1708,-0.4870
-1.0729,-0.4529
-0.9992,-0.4239
-0.9410,-0.3981
-0.8934,-0.3745
-0.8537,-0.3526
-0.8198,-0.3320
-0.7970,-0.3151
-0.7708,-0.2937
-0.7397,-0.2669
-0.7067,-0.2366
-0.6715,-0.2026
-0.6339,-0.1650
-0.5938,-0.1237
-0.5508,-0.0783
-0.5045,-0.0286
-0.4547, 0.0256
-0.4009, 0.0846
-0.3426, 0.1488
-0.2794, 0.2186
-0.2104, 0.2942
-0.1348, 0.3764
-0.0514, 0.4649
 0.0413, 0.5609
 0.1455, 0.6621
 0.2636, 0.7685
 0.3985, 0.8720
 0.5520, 0.9605
 0.7216, 0.9999
 0.8896, 0.9186
 0.9965, 0.5717
 0.9047,-0.2407
 0.4574,-1.5308
-0.2593,-2.8243
-0.8289,-3.3912
-1.0699,-3.2711
-1.0968,-2.9019
-1.0301,-2.6639
-0.9320,-2.5425
-0.8285,-1.8722
-0.7292,-1.5987
-0.6372,-1.4040
-0.5526,-1.2356
-0.4751,-1.0863
-0.4036,-0.9537
-0.3373,-0.8354
-0.2756,-0.7289
-0.2177,-0.6324
-0.1631,-0.5441
-0.1114,-0.4627
-0.0622,-0.3870
-0.0152,-0.3161
 0.0298,-0.2494
 0.0731,-0.1860
 0.1149,-0.1253
 0.1552,-0.0668
 0.1942,-0.0099
 0.2308, 0.0455
 0.2661, 0.1012
 0.3057, 0.1594
 0.3469, 0.2169
 0.3903, 0.2693
 0.4362, 0.3109
 0.4857, 0.3359
 0.5406, 0.3398
 0.6042, 0.3456
 0.6824, 0.3523
 0.8043, 0.3589
 0.9409, 0.3608
 0.8943, 0.3611
 0.7032, 0.3743
 0.6371, 0.3936
 0.5772, 0.4126
 0.5313, 0.4000
 0.4927, 0.3654
 0.4600, 0.3157
 0.4321, 0.2579
 0.4086, 0.1965
 0.3897, 0.1330
 0.3766, 0.0670
 0.3718,-0.0043
 0.3833,-0.0780
 0.4656,-0.1814


Reynolds =, 1100000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.067,  0.205, -0.234,  0.767,  0.043, 0.0240,-2.6435
Cpi,Cpv
 0.4684,-0.1948
 0.2437,-0.1993
 0.1305,-0.2079
 0.0217,-0.2194
-0.0804,-0.2340
-0.1829,-0.2521
-0.2894,-0.2747
-0.4039,-0.3031
-0.5312,-0.3401
-0.6793,-0.3903
-0.8601,-0.4644
-1.1086,-0.5916
-1.4399,-0.7848
-2.5887,-0.7645
-3.8161,-0.7387
-4.1744,-0.7472
-3.1558,-0.9028
-2.0307,-0.7086
-1.5907,-0.6235
-1.3672,-0.5674
-1.2291,-0.5279
-1.1328,-0.4966
-1.0611,-0.4705
-1.0052,-0.4476
-0.9603,-0.4269
-0.9235,-0.4080
-0.8929,-0.3907
-0.8740,-0.3771
-0.8518,-0.3592
-0.8246,-0.3358
-0.7956,-0.3089
-0.7646,-0.2784
-0.7315,-0.2443
-0.6960,-0.2064
-0.6577,-0.1645
-0.6165,-0.1183
-0.5720,-0.0676
-0.5237,-0.0120
-0.4714, 0.0489
-0.4143, 0.1155
-0.3519, 0.1885
-0.2833, 0.2682
-0.2072, 0.3558
-0.1219, 0.4511
-0.0252, 0.5558
 0.0862, 0.6673
 0.2164, 0.7851
 0.3701, 0.8975
 0.5508, 0.9832
 0.7524, 0.9842
 0.9371, 0.7806
 0.9917, 0.1811
 0.7446,-0.8723
 0.1975,-2.0283
-0.3235,-2.6261
-0.6066,-2.6435
