xflr5 v6.58

NACA 2412 - 27
Reynolds =, 1100000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.048, -0.137, -0.214,  0.770,  0.025, 0.0192,-4.7792
Cpi,Cpv
 0.4519,-0.1418
 0.2340,-0.1467
 0.1285,-0.1556
 0.0296,-0.1677
-0.0613,-0.1830
-0.1510,-0.2017
-0.2427,-0.2246
-0.3399,-0.2529
-0.4467,-0.2886
-0.5695,-0.3354
-0.7182,-0.4009
-0.9208,-0.5084
-1.1889,-0.7051
-2.1160,-0.6820
-3.0603,-0.6585
-3.3315,-0.6899
-2.5446,-0.7939
-1.6280,-0.5945
-1.2604,-0.5014
-1.0698,-0.4408
-0.9489,-0.3966
-0.8619,-0.3606
-0.7950,-0.3295
-0.7406,-0.3013
-0.6949,-0.2750
-0.6554,-0.2501
-0.6205,-0.2262
-0.5946,-0.2055
-0.5651,-0.1802
-0.5305,-0.1498
-0.4935,-0.1157
-0.4538,-0.0779
-0.4113,-0.0365
-0.3658, 0.0087
-0.3170, 0.0579
-0.2645, 0.1113
-0.2079, 0.1691
-0.1470, 0.2315
-0.0811, 0.2988
-0.0099, 0.3710
 0.0674, 0.4485
 0.1514, 0.5311
 0.2430, 0.6184
 0.3433, 0.7096
 0.4530, 0.8021
 0.5726, 0.8909
 0.7007, 0.9645
 0.8313, 0.9999
 0.9467, 0.9474
 0.9999, 0.7076
 0.8842, 0.0950
 0.4188,-1.1027
-0.4909,-2.7997
-1.5558,-4.3126
-2.1679,-4.7792
-2.2526,-4.3810
-2.0841,-4.0007
-1.8461,-3.8365
-1.6115,-2.8431
-1.4017,-2.3632
-1.2194,-2.0477
-1.0618,-1.7872
-0.9247,-1.5648
-0.8043,-1.3732
-0.6975,-1.2069
-0.6017,-1.0610
-0.5150,-0.9316
-0.4358,-0.8157
-0.3628,-0.7108
-0.2951,-0.6151
-0.2320,-0.5270
-0.1728,-0.4453
-0.1170,-0.3690
