xflr5 v6.58

NACA 2412 - 09
Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.019, -0.761, -0.142,  0.798,  0.016, 0.0065,-8.0558
Cpi,Cpv
 0.4267, 0.1815
 0.2541, 0.1560
 0.1865, 0.1136
 0.1320, 0.0762
 0.0885, 0.0429
 0.0507, 0.0135
 0.0165,-0.0124
-0.0158,-0.0343
-0.0476,-0.0508
-0.0805,-0.0732
-0.1167,-0.2455
-0.1621,-0.3271
-0.2186,-0.3359
-0.4003,-0.3648
-0.5436,-0.4536
-0.5854,-0.5007
-0.4697,-0.4386
-0.2855,-0.3005
-0.1989,-0.2210
-0.1491,-0.1738
-0.1128,-0.1384
-0.0828,-0.1087
-0.0560,-0.0820
-0.0308,-0.0569
-0.0064,-0.0325
 0.0179,-0.0084
 0.0425, 0.0156
 0.0645, 0.0379
 0.0912, 0.0647
 0.1232, 0.0965
 0.1589, 0.1320
 0.1983, 0.1712
 0.2414, 0.2141
 0.2882, 0.2608
 0.3388, 0.3113
 0.3933, 0.3657
 0.4516, 0.4240
 0.5136, 0.4862
 0.5792, 0.5520
 0.6479, 0.6214
 0.7189, 0.6933
 0.7908, 0.7670
 0.8612, 0.8397
 0.9258, 0.9084
 0.9767, 0.9652
 1.0000, 0.9980
 0.9692, 0.9825
 0.8345, 0.8731
 0.5008, 0.5811
-0.2088,-0.0554
-1.5798,-1.3054
-3.8597,-3.3992
-6.6557,-5.9869
-8.7767,-7.9300
-8.9772,-8.0558
-7.9275,-7.2478
-6.6392,-6.9514
-5.5100,-5.2660
-4.6062,-4.2457
-3.8969,-3.6076
-3.3373,-3.1101
-2.8894,-2.7052
-2.5249,-2.3710
-2.2232,-2.0919
-1.9695,-1.8555
-1.7530,-1.6527
-1.5659,-1.4766
-1.4023,-1.3221
-1.2579,-1.1852
-1.1292,-1.0629
-1.0137,-0.9529
-0.9094,-0.8533
-0.8147,-0.7627
-0.7283,-0.6800
-0.6494,-0.6042
-0.5772,-0.5345
-0.5112,-0.4705
-0.4534,-0.4120
-0.4018,-0.3573
-0.3459,-0.3025
-0.2908,-0.2492
-0.2362,-0.1975
-0.1819,-0.1475
-0.1269,-0.0997
-0.0699,-0.0544
-0.0085,-0.0123
 0.0662, 0.0261
 0.1567, 0.0592
 0.4071, 0.0772
 0.2296, 0.0759
 0.1360, 0.0790
 0.1076, 0.0823
 0.0952, 0.0868
 0.0924, 0.0927
 0.0958, 0.1002
 0.1038, 0.1093
 0.1160, 0.1196
 0.1324, 0.1310
 0.1538, 0.1430
 0.1817, 0.1552
 0.2205, 0.1667
 0.2741, 0.1765
 0.4267, 0.1815


Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.017, -0.657, -0.144,  0.798,  0.018, 0.0072,-7.0282
Cpi,Cpv
 0.4244, 0.1920
 0.2489, 0.1643
 0.1794, 0.1193
 0.1229, 0.0788
 0.0774, 0.0426
 0.0375, 0.0105
 0.0012,-0.0177
-0.0333,-0.0417
-0.0674,-0.0601
-0.1028,-0.0890
-0.1417,-0.2795
-0.1903,-0.3545
-0.2505,-0.3618
-0.4400,-0.3895
-0.5881,-0.4804
-0.6319,-0.5302
-0.5136,-0.4691
-0.3256,-0.3314
-0.2389,-0.2534
-0.1902,-0.2081
-0.1553,-0.1744
