xflr5 v6.58

NACA 2412 - 03
Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.028, -1.111, -0.085,  1.000,  0.012,-0.0003,-10.0638
Cpi,Cpv
 0.4351, 0.0724
 0.2826, 0.0699
 0.2287, 0.0651
 0.1891, 0.0574
 0.1605, 0.0470
 0.1381, 0.0356
 0.1201, 0.0247
 0.1053, 0.0148
 0.0927, 0.0058
 0.0816,-0.0030
 0.0712,-0.0122
 0.0597,-0.0234
 0.0465,-0.0376
 0.0016,-0.0720
-0.0359,-0.0894
-0.0419,-0.0908
-0.0100,-0.0746
 0.0368,-0.0356
 0.0682,-0.0026
 0.0889, 0.0196
 0.1072, 0.0391
 0.1247, 0.0575
 0.1424, 0.0759
 0.1607, 0.0948
 0.1801, 0.1144
 0.2005, 0.1349
 0.2223, 0.1562
 0.2430, 0.1770
 0.2684, 0.2023
 0.2990, 0.2326
 0.3333, 0.2668
 0.3713, 0.3047
 0.4128, 0.3463
 0.4579, 0.3916
 0.5064, 0.4405
 0.5583, 0.4930
 0.6132, 0.5490
 0.6708, 0.6082
 0.7304, 0.6702
 0.7911, 0.7340
 0.8511, 0.7989
 0.9078, 0.8623
 0.9569, 0.9213
 0.9912, 0.9697
 0.9982, 0.9979
 0.9565, 0.9879
 0.8273, 0.9077
 0.5400, 0.6974
-0.0362, 0.2471
-1.1341,-0.6452
-3.1078,-2.2860
-6.2025,-4.9075
-9.7634,-7.9710
-12.2121,-10.0638
-12.0842,-9.8261
-10.4370,-9.2311
-8.6050,-8.3805
-7.0608,-6.1907
-5.8538,-5.0527
-4.9229,-4.2778
-4.1986,-3.6731
-3.6260,-3.1868
-3.1649,-2.7900
-2.7870,-2.4616
-2.4722,-2.1859
-2.2060,-1.9511
-1.9779,-1.7489
-1.7801,-1.5726
-1.6070,-1.4176
-1.4540,-1.2801
-1.3178,-1.1573
-1.1958,-1.0470
-1.0861,-0.9474
-0.9869,-0.8572
-0.8972,-0.7753
-0.8160,-0.7006
-0.7427,-0.6326
-0.6796,-0.5707
-0.6247,-0.5135
-0.5657,-0.4578
-0.5087,-0.4047
-0.4535,-0.3544
-0.4002,-0.3071
-0.3483,-0.2628
-0.2971,-0.2216
-0.2458,-0.1837
-0.1900,-0.1491
-0.1317,-0.1182
 0.0036,-0.1002
-0.0805,-0.0951
-0.0911,-0.0760
-0.0797,-0.0571
-0.0616,-0.0386
-0.0398,-0.0211
-0.0155,-0.0046
 0.0110, 0.0107
 0.0399, 0.0245
 0.0718, 0.0369
 0.1076, 0.0476
 0.1492, 0.0567
 0.2013, 0.0640
 0.2666, 0.0695
 0.4351, 0.0724


Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.023, -1.050, -0.084,  0.995,  0.012, 0.0004,-9.0834
Cpi,Cpv
 0.4315, 0.1153
 0.2757, 0.0725
 0.2200, 0.0699
 0.1784, 0.0659
 0.1479, 0.0596
 0.1237, 0.0510
 0.1039, 0.0394
 0.0872, 0.0263
 0.0727, 0.0134
 0.0597, 0.0009
 0.0472,-0.0117
 0.0336,-0.0258
 0.0181,-0.0426
