xflr5 v6.58

NACA 2412 - 30
Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.064, -0.026, -0.226,  0.767,  0.028, 0.0218,-4.2511
Cpi,Cpv
 0.4631,-0.1686
 0.2405,-0.1730
 0.1298,-0.1814
 0.0243,-0.1927
-0.0741,-0.2069
-0.1725,-0.2246
-0.2743,-0.2465
-0.3833,-0.2741
-0.5044,-0.3097
-0.6448,-0.3578
-0.8163,-0.4279
-1.0524,-0.5467
-1.3669,-0.7334
-2.4678,-0.7198
-3.6451,-0.6944
-3.9813,-0.7010
-2.9937,-0.8473
-1.9054,-0.6408
-1.4737,-0.5481
-1.2515,-0.4861
-1.1120,-0.4412
-1.0127,-0.4046
-0.9372,-0.3731
-0.8767,-0.3448
-0.8265,-0.3185
-0.7840,-0.2938
-0.7471,-0.2703
-0.7205,-0.2501
-0.6907,-0.2255
-0.6559,-0.1956
-0.6190,-0.1621
-0.5798,-0.1250
-0.5382,-0.0843
-0.4939,-0.0398
-0.4464, 0.0087
-0.3956, 0.0614
-0.3411, 0.1185
-0.2823, 0.1803
-0.2190, 0.2470
-0.1504, 0.3190
-0.0760, 0.3963
 0.0052, 0.4794
 0.0942, 0.5676
 0.1923, 0.6613
 0.3011, 0.7574
 0.4223, 0.8534
 0.5568, 0.9387
 0.7032, 0.9945
 0.8519, 0.9770
 0.9722, 0.7972
 0.9824, 0.2848
 0.7234,-0.7676
 0.0637,-2.3123
-0.8177,-3.7427
-1.4146,-4.2511
-1.5904,-3.9622
-1.5316,-3.5452
-1.3884,-3.3498
-1.2288,-2.7169
-1.0770,-2.1562
-0.9398,-1.8611
-0.8175,-1.6245
-0.7087,-1.4214
-0.6112,-1.2451
-0.5231,-1.0908
-0.4430,-0.9547
-0.3695,-0.8334
-0.3014,-0.7242
-0.2380,-0.6248
-0.1786,-0.5338
-0.1227,-0.4495
-0.0697,-0.3709
-0.0194,-0.2971
 0.0287,-0.2271
 0.0747,-0.1602
 0.1189,-0.0958
 0.1614,-0.0332
 0.2010, 0.0275
 0.2391, 0.0876
 0.2815, 0.1475
 0.3253, 0.2021
 0.3711, 0.2460
 0.4193, 0.2736
 0.4711, 0.2790
 0.5282, 0.2857
 0.5940, 0.2934
 0.6746, 0.3011
 0.7997, 0.3085
 0.9396, 0.3106
 0.8918, 0.3109
 0.6965, 0.3243
 0.6292, 0.3419
 0.5685, 0.3688
 0.5223, 0.3700
 0.4836, 0.3478
 0.4510, 0.3081
 0.4234, 0.2566
 0.4004, 0.1983
 0.3821, 0.1360
 0.3698, 0.0703
 0.3660,-0.0007
 0.3786,-0.0739
 0.4631,-0.1686


