xflr5 v6.58

NACA 2412 - 21
Reynolds =, 1100000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.035, -0.278, -0.201,  0.789,  0.021, 0.0149,-5.4520
Cpi,Cpv
 0.4352, 0.0053
 0.2294,-0.0013
 0.1355,-0.0138
 0.0508,-0.0312
-0.0244,-0.0537
-0.0964,-0.0826
-0.1681,-0.1195
-0.2422,-0.1675
-0.3216,-0.2314
-0.4110,-0.3208
-0.5169,-0.4599
-0.6585,-0.7059
-0.8426,-0.6978
-1.4635,-0.6726
-2.0387,-0.6567
-2.2067,-0.7840
-1.7336,-0.7884
-1.1179,-0.5724
-0.8639,-0.4664
-0.7295,-0.4015
-0.6420,-0.3546
-0.5773,-0.3167
-0.5259,-0.2841
-0.4828,-0.2547
-0.4451,-0.2273
-0.4113,-0.2012
-0.3802,-0.1763
-0.3556,-0.1542
-0.3269,-0.1277
-0.2928,-0.0961
-0.2558,-0.0609
-0.2155,-0.0221
-0.1720, 0.0203
-0.1250, 0.0665
-0.0743, 0.1167
-0.0195, 0.1710
 0.0396, 0.2297
 0.1033, 0.2928
 0.1720, 0.3606
 0.2460, 0.4331
 0.3256, 0.5104
 0.4112, 0.5919
 0.5030, 0.6777
 0.6007, 0.7649
 0.7031, 0.8518
 0.8072, 0.9301
 0.9055, 0.9871
 0.9805, 0.9940
 0.9936, 0.8936
 0.8615, 0.5708
 0.4226,-0.1738
-0.5384,-1.5664
-2.0043,-3.4540
-3.4311,-5.0681
-4.0027,-5.4520
-3.8218,-4.9010
-3.3680,-4.6035
-2.8941,-4.3836
-2.4781,-3.1892
-2.1305,-2.6451
-1.8428,-2.2900
-1.6031,-1.9991
-1.4011,-1.7528
-1.2286,-1.5424
-1.0792,-1.3609
-0.9483,-1.2026
-0.8321,-1.0631
-0.7280,-0.9389
-0.6338,-0.8272
-0.5480,-0.7260
-0.4691,-0.6336
-0.3963,-0.5485
-0.3287,-0.4698
-0.2656,-0.3965
-0.2065,-0.3280
-0.1511,-0.2635
-0.0990,-0.2026
-0.0517,-0.1453
-0.0076,-0.0899
 0.0410,-0.0345
 0.0903, 0.0187
 0.1410, 0.0681
 0.1935, 0.1113
 0.2490, 0.1461
 0.3096, 0.1705
 0.3787, 0.1795
 0.4662, 0.1846
 0.5936, 0.1920
 0.8282, 0.1948
 0.6886, 0.1971
 0.5030, 0.2161
 0.4355, 0.2401
 0.3850, 0.2437
 0.3495, 0.2351
 0.3228, 0.2180
 0.3027, 0.1957
 0.2882, 0.1704
 0.2788, 0.1440
 0.2749, 0.1170
 0.2778, 0.0897
 0.2907, 0.0618
 0.3203, 0.0351
 0.4352, 0.0053


Reynolds =, 1100000,Mach =,    0,NCrit =, 9.0
