xflr5 v6.58

NACA 2412 - 12
Reynolds =, 1100000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.018, -0.558, -0.170,  0.791,  0.019, 0.0098,-6.9173
Cpi,Cpv
 0.4256, 0.1967
 0.2438, 0.1674
 0.1693, 0.1201
 0.1073, 0.0748
 0.0560, 0.0328
 0.0099,-0.0056
-0.0331,-0.0406
-0.0751,-0.0719
-0.1177,-0.0990
-0.1632,-0.1383
-0.2147,-0.3277
-0.2806,-0.5290
-0.3638,-0.5322
-0.6339,-0.5364
-0.8537,-0.6533
-0.9193,-0.7446
-0.7415,-0.6518
-0.4699,-0.4543
-0.3487,-0.3485
-0.2813,-0.2872
-0.2341,-0.2428
-0.1966,-0.2069
-0.1645,-0.1756
-0.1354,-0.1472
-0.1080,-0.1203
-0.0816,-0.0943
-0.0554,-0.0690
-0.0328,-0.0461
-0.0056,-0.0188
 0.0271, 0.0136
 0.0634, 0.0496
 0.1032, 0.0891
 0.1467, 0.1324
 0.1940, 0.1794
 0.2451, 0.2303
 0.3003, 0.2852
 0.3595, 0.3442
 0.4229, 0.4074
 0.4903, 0.4747
 0.5617, 0.5462
 0.6365, 0.6210
 0.7140, 0.6992
 0.7924, 0.7782
 0.8688, 0.8564
 0.9372, 0.9272
 0.9869, 0.9815
 0.9970, 0.9991
 0.9270, 0.9423
 0.6975, 0.7359
 0.1578, 0.2384
-0.9450,-0.7905
-2.8553,-2.5794
-5.2927,-4.8684
-7.2446,-6.6737
-7.5741,-6.9173
-6.7833,-6.1743
-5.7360,-5.8860
-4.7932,-5.0689
-4.0265,-3.8152
-3.4182,-3.2004
-2.9339,-2.7642
-2.5435,-2.4098
-2.2236,-2.1142
-1.9572,-1.8650
-1.7318,-1.6524
-1.5385,-1.4689
-1.3706,-1.3087
-1.2231,-1.1674
-1.0921,-1.0415
-0.9749,-0.9286
-0.8692,-0.8265
-0.7733,-0.7336
-0.6857,-0.6487
-0.6055,-0.5707
-0.5318,-0.4988
-0.4640,-0.4324
-0.4015,-0.3708
-0.3463,-0.3141
-0.2965,-0.2606
-0.2423,-0.2069
-0.1885,-0.1545
-0.1346,-0.1039
-0.0802,-0.0555
-0.0244,-0.0102
 0.0345, 0.0313
 0.0993, 0.0679
 0.1801, 0.0987
 0.2839, 0.1228
 0.5532, 0.1330
 0.3653, 0.1345
 0.2391, 0.1404
 0.1962, 0.1429
 0.1713, 0.1441
 0.1584, 0.1451
 0.1527, 0.1469
 0.1525, 0.1499
 0.1571, 0.1544
 0.1664, 0.1604
 0.1809, 0.1677
 0.2022, 0.1761
 0.2343, 0.1847
 0.2819, 0.1928
 0.4256, 0.1967


Reynolds =, 1100000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.016, -0.450, -0.173,  0.793,  0.020, 0.0106,-5.9544
Cpi,Cpv
 0.4241, 0.2044
 0.2395, 0.1744
 0.1632, 0.1254
 0.0991, 0.0776
 0.0458, 0.0330
-0.0024,-0.0079
-0.0477,-0.0452
-0.0920,-0.0785
-0.1372,-0.1081
-0.1854,-0.1598
-0.2400,-0.3749
-0.3096,-0.5565
-0.3972,-0.5584
-0.6774,-0.5612
-0.9042,-0.6805
-0.9726,-0.7762
-0.7908,-0.6848
-0.5135,-0.4876
-0.3917,-0.3833
-0.3250,-0.3239
-0.2791,-0.2814
-0.2433,-0.2474
-0.2129,-0.2183
