xflr5 v6.58

NACA 2412 - 12
Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.017, -0.560, -0.171,  0.787,  0.018, 0.0098,-6.9746
Cpi,Cpv
 0.4256, 0.2003
 0.2438, 0.1705
 0.1693, 0.1222
 0.1073, 0.0762
 0.0560, 0.0335
 0.0099,-0.0056
-0.0331,-0.0416
-0.0751,-0.0744
-0.1177,-0.1029
-0.1632,-0.1331
-0.2147,-0.2727
-0.2806,-0.5339
-0.3638,-0.5379
-0.6339,-0.5413
-0.8537,-0.6602
-0.9193,-0.7519
-0.7415,-0.6561
-0.4699,-0.4554
-0.3487,-0.3485
-0.2813,-0.2868
-0.2341,-0.2422
-0.1966,-0.2061
-0.1645,-0.1748
-0.1354,-0.1463
-0.1080,-0.1193
-0.0816,-0.0933
-0.0554,-0.0680
-0.0328,-0.0450
-0.0056,-0.0177
 0.0271, 0.0147
 0.0634, 0.0507
 0.1032, 0.0903
 0.1467, 0.1336
 0.1940, 0.1806
 0.2451, 0.2315
 0.3003, 0.2865
 0.3595, 0.3455
 0.4229, 0.4087
 0.4903, 0.4760
 0.5617, 0.5475
 0.6365, 0.6224
 0.7140, 0.7005
 0.7924, 0.7794
 0.8688, 0.8575
 0.9372, 0.9281
 0.9869, 0.9820
 0.9970, 0.9990
 0.9270, 0.9411
 0.6975, 0.7327
 0.1578, 0.2317
-0.9450,-0.8034
-2.8553,-2.6023
-5.2927,-4.9038
-7.2446,-6.7215
-7.5741,-6.9746
-6.7833,-6.2282
-5.7360,-5.9330
-4.7932,-4.9990
-4.0265,-3.8090
-3.4182,-3.2148
-2.9339,-2.7775
-2.5435,-2.4208
-2.2236,-2.1235
-1.9572,-1.8731
-1.7318,-1.6596
-1.5385,-1.4754
-1.3706,-1.3147
-1.2231,-1.1729
-1.0921,-1.0467
-0.9749,-0.9335
-0.8692,-0.8311
-0.7733,-0.7380
-0.6857,-0.6529
-0.6055,-0.5747
-0.5318,-0.5027
-0.4640,-0.4362
-0.4015,-0.3746
-0.3463,-0.3179
-0.2965,-0.2643
-0.2423,-0.2104
-0.1885,-0.1576
-0.1346,-0.1061
-0.0802,-0.0566
-0.0244,-0.0095
 0.0345, 0.0342
 0.0993, 0.0734
 0.1801, 0.1072
 0.2839, 0.1340
 0.5532, 0.1459
 0.3653, 0.1464
 0.2391, 0.1498
 0.1962, 0.1500
 0.1713, 0.1492
 0.1584, 0.1488
 0.1527, 0.1495
 0.1525, 0.1519
 0.1571, 0.1561
 0.1664, 0.1620
 0.1809, 0.1695
 0.2022, 0.1783
 0.2343, 0.1875
 0.2819, 0.1962
 0.4256, 0.2003


Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.016, -0.452, -0.173,  0.789,  0.020, 0.0106,-6.0002
Cpi,Cpv
 0.4241, 0.2074
 0.2395, 0.1767
 0.1632, 0.1268
 0.0991, 0.0782
 0.0458, 0.0329
-0.0024,-0.0087
-0.0477,-0.0470
-0.0920,-0.0817
-0.1372,-0.1120
-0.1854,-0.1493
-0.2400,-0.3224
-0.3096,-0.5625
-0.3972,-0.5651
-0.6774,-0.5672
-0.9042,-0.6888
-0.9726,-0.7849
-0.7908,-0.6902
-0.5135,-0.4893
-0.3917,-0.3839
-0.3250,-0.3240
-0.2791,-0.2812
-0.2433,-0.2471
-0.2129,-0.2179
-0.1858,-0.1915
-0.1605,-0.1667
-0.1363,-0.1431
-0.1126,-0.1202
-0.0927,-0.0999
-0.0681,-0.0752
-0.0379,-0.0453
-0.0041,-0.0117
 0.0333, 0.0255
 0.0745, 0.0664
 0.1196, 0.1113
 0.1687, 0.1601
 0.2220, 0.2132
 0.2797, 0.2706
 0.3419, 0.3326
 0.4087, 0.3993
 0.4802, 0.4705
 0.5562, 0.5465
 0.6362, 0.6264
 0.7194, 0.7101
 0.8036, 0.7945
 0.8847, 0.8771
 0.9546, 0.9488
 0.9969, 0.9950
 0.9790, 0.9839
 0.8351, 0.8530
 0.4358, 0.4771
-0.4436,-0.3567
-2.0440,-1.8828
-4.1794,-3.9172
-5.9888,-5.6265
-6.4262,-6.0002
-5.8529,-5.3939
-5.0084,-5.0772
-4.2226,-4.6135
-3.5719,-3.4277
-3.0491,-2.8873
-2.6290,-2.5079
-2.2876,-2.1961
-2.0059,-1.9336
-1.7700,-1.7106
-1.5693,-1.5194
-1.3963,-1.3534
-1.2453,-1.2079
-1.1120,-1.0790
-0.9932,-0.9639
-0.8865,-0.8601
-0.7899,-0.7660
-0.7019,-0.6801
-0.6214,-0.6014
-0.5474,-0.5289
-0.4791,-0.4620
-0.4162,-0.4001
-0.3581,-0.3426
-0.3067,-0.2899
-0.2604,-0.2401
-0.2096,-0.1893
-0.1588,-0.1388
-0.1078,-0.0889
-0.0562,-0.0397
-0.0029, 0.0084
 0.0535, 0.0549
 0.1160, 0.0988
 0.1943, 0.1387
 0.2955, 0.1725
 0.5602, 0.1892
 0.3752, 0.1865
 0.2502, 0.1815
 0.2070, 0.1745
 0.1816, 0.1678
 0.1678, 0.1628
 0.1611, 0.1601
 0.1599, 0.1600
 0.1634, 0.1624
 0.1715, 0.1672
 0.1848, 0.1742
 0.2049, 0.1831
 0.2356, 0.1931
 0.2820, 0.2029
 0.4241, 0.2074


Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.013, -0.343, -0.176,  0.791,  0.022, 0.0113,-5.1051
Cpi,Cpv
 0.4228, 0.2132
 0.2357, 0.1823
 0.1576, 0.1312
 0.0914, 0.0805
 0.0361, 0.0328
-0.0142,-0.0112
-0.0617,-0.0517
-0.1084,-0.0883
-0.1561,-0.1209
-0.2071,-0.1692
-0.2648,-0.3732
-0.3381,-0.5898
-0.4302,-0.5911
-0.7204,-0.5918
-0.9542,-0.7157
-1.0255,-0.8164
-0.8397,-0.7231
-0.5567,-0.5226
-0.4345,-0.4189
-0.3687,-0.3609
-0.3242,-0.3201
-0.2901,-0.2881
-0.2617,-0.2610
-0.2366,-0.2369
-0.2136,-0.2145
-0.1918,-0.1933
-0.1705,-0.1730
-0.1535,-0.1555
-0.1318,-0.1336
-0.1044,-0.1064
-0.0733,-0.0756
-0.0386,-0.0410
-0.0000,-0.0027
 0.0425, 0.0396
 0.0891, 0.0860
 0.1401, 0.1368
 0.1957, 0.1922
 0.2560, 0.2523
 0.3214, 0.3176
 0.3921, 0.3880
 0.4681, 0.4638
 0.5494, 0.5448
 0.6355, 0.6312
 0.7254, 0.7206
 0.8164, 0.8123
 0.9028, 0.8988
 0.9723, 0.9700
 0.9996, 0.9999
 0.9313, 0.9372
 0.6586, 0.6757
-0.0160, 0.0247
-1.3267,-1.2437
-3.1716,-3.0275
-4.8327,-4.6211
-5.3566,-5.1051
-4.9777,-4.6855
-4.3189,-4.2945
-3.6786,-4.1282
-3.1362,-3.0252
-2.6938,-2.5724
-2.3342,-2.2488
-2.0393,-1.9788
-1.7941,-1.7487
-1.5873,-1.5516
-1.4103,-1.3813
-1.2568,-1.2327
-1.1221,-1.1017
-1.0026,-0.9851
-0.8956,-0.8805
-0.7990,-0.7858
-0.7113,-0.6996
-0.6310,-0.6207
-0.5573,-0.5482
-0.4893,-0.4812
-0.4265,-0.4191
-0.3683,-0.3616
-0.3145,-0.3083
-0.2670,-0.2595
-0.2241,-0.2136
-0.1765,-0.1659
-0.1288,-0.1181
-0.0807,-0.0702
-0.0318,-0.0221
 0.0189, 0.0263
 0.0730, 0.0748
 0.1330, 0.1229
 0.2089, 0.1693
 0.3075, 0.2112
 0.5675, 0.2341
 0.3855, 0.2276
 0.2617, 0.2127
 0.2182, 0.1976
 0.1922, 0.1847
 0.1776, 0.1751
 0.1700, 0.1691
 0.1678, 0.1665
 0.1702, 0.1672
 0.1772, 0.1709
 0.1893, 0.1775
 0.2080, 0.1865
 0.2375, 0.1973
 0.2826, 0.2086
 0.4228, 0.2132


Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-12.000,    0.012, -0.231, -0.178,  0.792,  0.027, 0.0120,-4.2355
Cpi,Cpv
 0.4220, 0.2159
 0.2323, 0.1851
 0.1524, 0.1334
 0.0843, 0.0810
 0.0269, 0.0313
-0.0255,-0.0149
-0.0752,-0.0573
-0.1242,-0.0956
-0.1744,-0.1311
-0.2282,-0.1940
-0.2890,-0.4247
-0.3661,-0.6174
-0.4627,-0.6173
-0.7629,-0.6168
-1.0036,-0.7429
-1.0778,-0.8481
-0.8882,-0.7565
-0.5996,-0.5565
-0.4770,-0.4546
-0.4122,-0.3986
-0.3692,-0.3599
-0.3369,-0.3301
-0.3105,-0.3053
-0.2877,-0.2835
-0.2670,-0.2636
-0.2477,-0.2450
-0.2292,-0.2275
-0.2153,-0.2130
-0.1967,-0.1941
-0.1722,-0.1699
-0.1442,-0.1420
-0.1124,-0.1104
-0.0768,-0.0750
-0.0373,-0.0356
 0.0065, 0.0080
 0.0546, 0.0560
 0.1075, 0.1087
 0.1654, 0.1665
 0.2286, 0.2295
 0.2975, 0.2983
 0.3724, 0.3729
 0.4535, 0.4539
 0.5409, 0.5409
 0.6344, 0.6345
 0.7325, 0.7319
 0.8316, 0.8312
 0.9233, 0.9225
 0.9888, 0.9884
 0.9860, 0.9867
 0.8259, 0.8304
 0.3372, 0.3500
-0.7045,-0.6699
-2.2705,-2.2043
-3.7779,-3.6657
-4.3666,-4.2355
-4.1589,-4.0080
-3.6684,-3.5644
-3.1618,-3.3325
-2.7199,-2.9485
-2.3527,-2.2687
-2.0500,-1.9774
-1.7990,-1.7510
-1.5884,-1.5563
-1.4093,-1.3865
-1.2549,-1.2380
-1.1201,-1.1071
-1.0010,-0.9909
-0.8948,-0.8868
-0.7993,-0.7928
-0.7126,-0.7074
-0.6334,-0.6293
-0.5607,-0.5574
-0.4936,-0.4911
-0.4315,-0.4297
-0.3739,-0.3726
-0.3205,-0.3196
-0.2709,-0.2703
-0.2271,-0.2254
-0.1875,-0.1832
-0.1432,-0.1388
-0.0986,-0.0939
-0.0533,-0.0485
-0.0070,-0.0024
 0.0411, 0.0448
 0.0928, 0.0934
 0.1505, 0.1433
 0.2239, 0.1937
 0.3198, 0.2418
 0.5750, 0.2698
 0.3960, 0.2601
 0.2735, 0.2369
 0.2298, 0.2155
 0.2033, 0.1980
 0.1879, 0.1851
 0.1794, 0.1767
 0.1761, 0.1723
 0.1775, 0.1715
 0.1833, 0.1741
 0.1942, 0.1798
 0.2117, 0.1885
 0.2398, 0.1994
 0.2837, 0.2115
 0.4220, 0.2159


Reynolds =, 1200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-11.000,    0.011, -0.119, -0.179,  0.794,  0.034, 0.0128,-3.4039
Cpi,Cpv
 0.4215, 0.2169
 0.2295, 0.1865
 0.1478, 0.1347
 0.0777, 0.0810
 0.0183, 0.0295
-0.0362,-0.0186
-0.0881,-0.0629
-0.1395,-0.1030
-0.1922,-0.1419
-0.2488,-0.2225
-0.3127,-0.4755
-0.3935,-0.6444
-0.4947,-0.6431
-0.8049,-0.6413
-1.0524,-0.7693
-1.1295,-0.8790
-0.9361,-0.7893
-0.6421,-0.5903
-0.5193,-0.4904
-0.4555,-0.4365
-0.4142,-0.4000
-0.3838,-0.3724
-0.3595,-0.3500
-0.3390,-0.3307
-0.3209,-0.3134
-0.3042,-0.2976
-0.2886,-0.2830
-0.2780,-0.2716
-0.2626,-0.2560
-0.2414,-0.2350
-0.2165,-0.2103
-0.1880,-0.1819
-0.1558,-0.1497
-0.1196,-0.1136
-0.0792,-0.0733
-0.0343,-0.0285
 0.0153, 0.0211
 0.0701, 0.0758
 0.1303, 0.1359
 0.1965, 0.2021
 0.2692, 0.2746
 0.3487, 0.3540
 0.4358, 0.4410
 0.5306, 0.5353
 0.6329, 0.6375
 0.7411, 0.7448
 0.8499, 0.8531
 0.9464, 0.9482
 0.9993, 0.9995
 0.9374, 0.9355
 0.6155, 0.6136
-0.1781,-0.1776
-1.4771,-1.4613
-2.8256,-2.7892
-3.4573,-3.4039
-3.3975,-3.3380
-3.0576,-2.9949
-2.6728,-2.7075
-2.3236,-2.5482
-2.0261,-2.0788
-1.7767,-1.7221
-1.5670,-1.5281
-1.3891,-1.3665
-1.2362,-1.2232
-1.1033,-1.0957
-0.9864,-0.9820
