xflr5 v6.58

NACA 2412 - 24
Reynolds =, 1000000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.049, -0.227, -0.205,  0.786,  0.023, 0.0170,-5.1770
Cpi,Cpv
 0.4426,-0.0725
 0.2303,-0.0782
 0.1304,-0.0889
 0.0385,-0.1037
-0.0446,-0.1226
-0.1255,-0.1467
-0.2072,-0.1773
-0.2927,-0.2169
-0.3856,-0.2701
-0.4914,-0.3458
-0.6181,-0.4660
-0.7892,-0.6427
-1.0138,-0.6443
-1.7806,-0.6206
-2.5252,-0.6005
-2.7407,-0.6578
-2.1243,-0.7292
-1.3653,-0.5470
-1.0570,-0.4574
-0.8957,-0.3994
-0.7921,-0.3568
-0.7167,-0.3218
-0.6578,-0.2914
-0.6092,-0.2636
-0.5677,-0.2376
-0.5311,-0.2127
-0.4981,-0.1888
-0.4729,-0.1677
-0.4438,-0.1421
-0.4094,-0.1114
-0.3723,-0.0769
-0.3322,-0.0389
-0.2892, 0.0029
-0.2428, 0.0484
-0.1928, 0.0980
-0.1390, 0.1517
-0.0809, 0.2098
-0.0183, 0.2725
 0.0493, 0.3399
 0.1224, 0.4121
 0.2014, 0.4893
 0.2869, 0.5709
 0.3795, 0.6573
 0.4796, 0.7457
 0.5872, 0.8348
 0.7011, 0.9167
 0.8171, 0.9802
 0.9241, 0.9979
 0.9942, 0.9161
 0.9634, 0.6252
 0.6981,-0.0668
-0.0013,-1.3828
-1.1798,-3.1919
-2.4265,-4.7645
-3.0303,-5.1770
-2.9964,-4.6840
-2.6962,-4.3533
-2.3480,-4.2218
-2.0279,-3.0334
-1.7529,-2.5229
-1.5205,-2.1863
-1.3237,-1.9086
-1.1556,-1.6722
-1.0102,-1.4696
-0.8829,-1.2942
-0.7702,-1.1409
-0.6692,-1.0053
-0.5780,-0.8843
-0.4947,-0.7752
-0.4183,-0.6760
-0.3475,-0.5850
-0.2817,-0.5010
-0.2201,-0.4228
-0.1623,-0.3497
-0.1078,-0.2809
-0.0563,-0.2157
-0.0074,-0.1536
 0.0373,-0.0947
 0.0794,-0.0376
 0.1259, 0.0189
 0.1736, 0.0720
 0.2228, 0.1188
 0.2741, 0.1562
 0.3287, 0.1817
 0.3886, 0.1896
 0.4574, 0.1959
 0.5439, 0.2038
 0.6733, 0.2120
 0.8795, 0.2148
 0.7686, 0.2162
 0.5753, 0.2324
 0.5054, 0.2567
 0.4500, 0.2728
 0.4096, 0.2674
 0.3779, 0.2484
 0.3529, 0.2200
 0.3333, 0.1855
 0.3188, 0.1476
 0.3096, 0.1076
 0.3070, 0.0659
 0.3140, 0.0218
 0.3377,-0.0223
